월,일,커뮤니티,타사명/키워드,제목,본문(내용),URL
2,23,디시인사이드,러셀,님들 이거 주면 받음..?,"강민철 박석준
신성규 김기현 현우진
조정식
오지훈
배기범
백호
고석용
단, 컨텐츠는 러셀 컨텐츠",https://gall.dcinside.com/mgallery/board/view/?id=sdijn&no=2578152
2,23,디시인사이드,러셀,메가스터디 러셀 가는 애들 질문 좀,메가패스 끊음??,https://gall.dcinside.com/mgallery/board/view/?id=hanmath&no=10642688
2,23,디시인사이드,러셀,화원이 러셀 첩자 아니재?,어찌 불안하당노,https://gall.dcinside.com/mgallery/board/view/?id=sdijn&no=2577069
2,23,디시인사이드,러셀,조퇴했다 씨발,"D반걸린게 말이되냐?
담주에 안나오면 러셀간거임 ㅇㅇ
- dc official App",https://gall.dcinside.com/mgallery/board/view/?id=sdijn&no=2577020
2,23,디시인사이드,러셀,응집갈거야 러셀조교 수고욘 ㅋㅋㅋㅋㅋ,,https://gall.dcinside.com/mgallery/board/view/?id=hanmath&no=10642052
2,23,디시인사이드,러셀,러셀 반 성적 기준만 맞추면 거기 드가는거지?,"한 4월-5월에 드간다 쳐도.
인원 차서 안된다든지 하는거 없지?",https://gall.dcinside.com/mgallery/board/view/?id=russelmg&no=46590
2,23,디시인사이드,대성,통합과학 대성 인강,강사 추천 부탁드림..,https://gall.dcinside.com/board/view/?id=exam_new2&no=1833325
2,23,디시인사이드,대성,대성패스 할인은 언제해줌,해달라면 해주냐,https://gall.dcinside.com/mgallery/board/view/?id=dshw&no=247541
2,23,디시인사이드,대성,대성 왜이리 비싸짐..?,"19만원 아니었음?
- dc official App",https://gall.dcinside.com/mgallery/board/view/?id=hanmath&no=10643922
2,23,디시인사이드,대성,대성에서 교과로 한림대 제주대 단천 이런곳 적정으로 잡아주던대.,,https://gall.dcinside.com/mgallery/board/view/?id=hanmath&no=10643801
2,23,디시인사이드,대성,노량진 대성학원 반편성,"SM, T, P, J, Q 이런 식으로 있던데 어디가 제일 높은 반이고 어디가 재일 낮은 반인가요 높은 순서대로 쓰면 어떻게 돼요?",https://gall.dcinside.com/mgallery/board/view/?id=dshw&no=247439
2,23,디시인사이드,대성,근데 목동시대보다 노량진 대성이 난듯,이정수가 있음,https://gall.dcinside.com/mgallery/board/view/?id=sdijn&no=2578100
2,23,디시인사이드,대성,노량진대성,한국사가 걍 개쳐웃기고 밥도 전나맛있는것같은데 수학수업 개애매한거같은데 1등급반으로 알고 들어간건데 풀이를 정승제 선생님처럼 너무 처음부터하네,https://gall.dcinside.com/mgallery/board/view/?id=dshw&no=247398
2,23,디시인사이드,대성,강남대성 의대관 기숙 질문,"올해 재수 망하고 정말 열심히 하려고 강남대성 의대관 기숙을 선택하려합니다.
하지만 최저등급 3합 8이 안됩니다.
정말 열심히 할 자신 있는데 혹시 3합 8이상 학생분들 어떻게 등록했는지 궁금합니다.",https://gall.dcinside.com/mgallery/board/view/?id=csatlecture&no=291232
2,23,디시인사이드,대성,메가 대성 얘네 교재 무인택배함 배송 해주냐?,내가 사정이 있어서 집 앞이랑 아파트 경비실에 택배를 놓을수가 없음,https://gall.dcinside.com/mgallery/board/view/?id=hanmath&no=10642468
2,23,디시인사이드,대성,대성패스 가격 언제 내려가냐.,ㅇㅇ,https://gall.dcinside.com/mgallery/board/view/?id=hanmath&no=10642321
2,23,디시인사이드,대성,교재랑 e북 구매하고 교재 환불하면 어케됨,"대성마이맥
e북 사려면 교재 필수구매래서
교재랑 e북 둘다사고 교재 환불하면 어케됨?
- dc official App",https://gall.dcinside.com/mgallery/board/view/?id=dshw&no=247342
