월,일,커뮤니티,타사명/키워드,제목,본문(내용),URL
2,27,디시인사이드,러셀,러셀 강남 이사감? 서초 메가 망함?,- dc official App,https://gall.dcinside.com/mgallery/board/view/?id=russelmg&no=46663
2,27,디시인사이드,러셀,국어 커리 평가좀,"러셀 다님
러셀 국어 단과1개+정석민 인강풀커리+유대종 화작
단과는 이감용으로 듣는거고
필요하면 다른 강사 추가할 생각도 있음
- dc official App
- dc official App",https://gall.dcinside.com/mgallery/board/view/?id=csatlecture&no=292782
2,27,디시인사이드,러셀,비재원생인데 국어 커리 평가좀,"러셀 다님
러셀 국어 단과1개+정석민 인강풀커리+유대종 화작
단과는 이감용으로 듣는거고
필요하면 다른 강사 추가할 생각도 있음
- dc official App",https://gall.dcinside.com/mgallery/board/view/?id=sdijn&no=2587772
2,27,디시인사이드,러셀,러셀 처음가는데 안내 이런거 안해주냐,첫날 가면 안내 해줌?,https://gall.dcinside.com/mgallery/board/view/?id=russelmg&no=46657
2,27,디시인사이드,러셀,러셀 윈터 메가패스 할인권 받은 사람 있냐?,20% 할인권 ㅇㅇ 이거 팔아도되냐?,https://gall.dcinside.com/mgallery/board/view/?id=russelmg&no=46656
2,27,디시인사이드,러셀,지듬 더프 신청 열림?,디랩이나 러셀 가려하는데 ㅇㅇ,https://gall.dcinside.com/mgallery/board/view/?id=csatlecture&no=292756
2,27,디시인사이드,러셀,유튜브 러셀 메가스터디 여붕이들이 ㄹㅇ이네,진짜 딱 여의사상들밖에 없노,https://gall.dcinside.com/mgallery/board/view/?id=sdijn&no=2587531
2,27,디시인사이드,러셀,러셀 우산,비올때 우산 어디다 놔둠? 나 첨 가는데 다음주에 비 온다해서,https://gall.dcinside.com/mgallery/board/view/?id=russelmg&no=46645
2,27,디시인사이드,대성,대성 이영수 영어 '구문20수 air' ㄹㅇ 명강의임,"영어노베들 듣기 딱 좋음
문장 유형별로 친절하게 설명해주는데
예문들이 친근한 예시들로 구성되어있어서 ㄹㅇ 듣기좋음",https://gall.dcinside.com/mgallery/board/view/?id=hanmath&no=10662692
2,27,디시인사이드,대성,대성갤은 근데 ㅈㄴ 클린한듯,저기 갤 잠깐 보니깐 정신이 ㄹㅇ 아득해진다,https://gall.dcinside.com/mgallery/board/view/?id=dshw&no=249047
2,27,디시인사이드,대성,왤케 메가 n제는 사기 싫냐,"대성은
한석원
정병호
김범준....같이 현강 느낌 그득한 교재라서 사고싶은데
메가는 드릴말고 딱히?
걍 뭔가 거부감이 존나 옴
- dc official App",https://gall.dcinside.com/mgallery/board/view/?id=sdijn&no=2588871
2,27,디시인사이드,대성,대성듣는 님들 질문좀,"아까 오후 5시쯤에 책 올거라고 대성마이맥 카톡 왔는데
이거 내일 받기 ㄱㄴ?",https://gall.dcinside.com/mgallery/board/view/?id=hanmath&no=10662552
2,27,디시인사이드,대성,대성마이맥 수강평 뭐냐 ㅋㅋㅋ,물평ㅋㅋ,https://gall.dcinside.com/mgallery/board/view/?id=sdijn&no=2588605
2,27,디시인사이드,대성,착한 동생에게 ebs연계강의 추천좀해다오,"전형태 언매 올인원급 누가봐도 무난하고
괜찮다고 생각하는
그런 포지션 연계강의 있음요? 메가대성다있음",https://gall.dcinside.com/mgallery/board/view/?id=csatlecture&no=292921
2,27,디시인사이드,대성,과탐 인강 내신용으로 들으려하는데 메가가 나을까 대성이 나을까,과탐만 시험기간에 학원 플러스 추가로 좀 들으려 함,https://gall.dcinside.com/mgallery/board/view/?id=hanmath&no=10661611
2,27,디시인사이드,대성,시대오디션글 뜨자마자,디시 광고에서 대성 강사 오디션 띄워주는데 이거 뭐냐,https://gall.dcinside.com/mgallery/board/view/?id=sdijn&no=2588003
2,27,디시인사이드,대성,스타강사코리아 지원한 강사들은 존나 후회되겠노,"대성 노예계약이라며 강사면 시대에서 일하고 싶을텐데
- dc official App",https://gall.dcinside.com/mgallery/board/view/?id=sdijn&no=2588001
2,27,디시인사이드,대성,대성이 시대인재에 밀리는 이유.jpg,"시대는 눈치까고 미리 걸렀는데
대성은 쁘락치를 들여버림..",https://gall.dcinside.com/mgallery/board/view/?id=sdijn&no=2587746
2,27,디시인사이드,대성,수특수완 엄선경쌤처럼 오디오강의 없음?,"메가ㅜ대성 이투스
- dc official App",https://gall.dcinside.com/mgallery/board/view/?id=hanmath&no=10659963
2,27,디시인사이드,대성,대성 패스 구매하실 분?,"얼리로 구매한건데 안볼거 같아서 팔아요
30에 팝니다. 네고 가능",https://gall.dcinside.com/mgallery/board/view/?id=hanmath&no=10659813
2,27,디시인사이드,대성,노대 노량진 대성학원 본원 관련해서 궁금한거 2가지 있습니다,"궁금한게 있는데
1. 빌보드 같은거 시대인재처럼 이름 다 가려서 나옴?
2. 남녀 부딪힐 수 있는 시간이 있음?",https://gall.dcinside.com/mgallery/board/view/?id=dshw&no=248776
2,27,디시인사이드,대성,노량진 대성학원 본원 다녀본 사람 혹시 있음???,"궁금한게 있는데
1. 빌보드 같은거 시대인재처럼 이름 다 가려서 나옴?
2. 남녀 부딪힐 수 있는 시간이 있음?",https://gall.dcinside.com/mgallery/board/view/?id=sdijn&no=2587551
2,27,디시인사이드,대성,대성 플레이어 배속 조절 못하냐??,1.2 1.6 2.0 3.0은 뭔 구성이지,https://gall.dcinside.com/mgallery/board/view/?id=hanmath&no=10659738
2,27,디시인사이드,대성,강남대성도 단과가 있음?,대성학원 계열에서 단과는 두각만 있는거 아녔어?,https://gall.dcinside.com/mgallery/board/view/?id=csatlecture&no=292735
2,27,디시인사이드,대성,메가패스 55 vs 대성 46,"화작 확통 사탐
지거국 공대 목표
which",https://gall.dcinside.com/mgallery/board/view/?id=hanmath&no=10659455
2,27,디시인사이드,대성,대성패스 29만원 아니였나,왜 50만원 돼있음,https://gall.dcinside.com/mgallery/board/view/?id=hanmath&no=10659423
2,27,디시인사이드,대성,대성 밖에 없으면 사탐 누구 들어야함?,"세지사문 하고 싶은데 이기상쌤 하나 듣자고 메가 긁기는 좀 뭐하고
국어는 운지홍쌤 듣고 영어는 파멸적 노베이스라 누구 들을지 아직 못정함요",https://gall.dcinside.com/mgallery/board/view/?id=hanmath&no=10659367
2,27,디시인사이드,대성,아니 대성 강의 버퍼 ㅈㄴ심하네,나만그럼?,https://gall.dcinside.com/mgallery/board/view/?id=csatlecture&no=292702
2,27,디시인사이드,대성,글 븅신같이 써서 다시써,강남대성 본관에서 정규편입하라고 문자왔는데 글들보니깐 자리 다차서 주변 관으로 배정받은 사람도 있다는데 그럼 본관에서 스투나 다른 곳에서 수업듣고 밥은 또 본관와서 먹고 이래야하는거야? 이런거면 학사 위치 정하는 것도 애매한데...ㅜㅜ,https://gall.dcinside.com/mgallery/board/view/?id=dshw&no=248714
2,27,디시인사이드,대성,수학 컨텐츠 총정리 이게 맞음?,"강대
강k 서킷 크럭스
시대
서바 브릿지 엑셀 볼텍스 숏컷
메가
드릴 킬캠
대성
하사십 4규
시대북스
이해원설맞이샤인미
이거말고 뭐 있음?",https://gall.dcinside.com/mgallery/board/view/?id=sdijn&no=2586979
2,27,디시인사이드,대성,대성 패스 언제 싸지냐,반수 시작할때쯤? 6~7월 되면 싸짐?,https://gall.dcinside.com/mgallery/board/view/?id=sdijn&no=2586815
2,27,디시인사이드,이투스,이투스 그냥 끊었음,"귀찮아
- dc official App",https://gall.dcinside.com/mgallery/board/view/?id=hanmath&no=10661831
2,27,디시인사이드,이투스,"이투스 인강 강사진 추천좀, 노베이스","국어 : 김민정+추후 박광일
영어 : 주혜연 vs 오채은 고민중
수학 : 정승제하려다가 김동환으로 할까함
통합사회 : 이지영
통합과학 : 모름
한국사 : 한능검1급+공시 문동균 커리타본적 있어서 알아서 할 예정
목표 : 2028 수능 평균 안정적인 3등급",https://gall.dcinside.com/mgallery/board/view/?id=csatlecture&no=292878
2,27,디시인사이드,이투스,"이투스 구독 중이신 분, 리워드 기준 뭐임?","이번에 나온 구독제 말로
엊그제 4만 6000원일 때 구독했는데
새구독요금제가 나와서 전의 구독상품이 30분 수강 1000원인지, 1시간 수강 1000원인지 모르겠음
아직 수강시작 안 함..",https://gall.dcinside.com/board/view/?id=exam_new2&no=1833617
2,27,디시인사이드,이투스,지금 쌉노베인데 받아주는 재수학원 있냐..,재종은 내가 못 따라갈 것 같고 독재 알아보는 중인데 다 정규반임. 주변에 잇올이랑 이투스 있는데 여기 받아줘??,https://gall.dcinside.com/mgallery/board/view/?id=hanmath&no=10660511
2,27,디시인사이드,이투스,이투스 강사추천,일일ㅇ로 풀어줌,https://gall.dcinside.com/mgallery/board/view/?id=etoos&no=265
2,27,디시인사이드,재종,단과랑 재종 강사 겹치면 어캄?,"단과 드랍해도 되나
- dc official App",https://gall.dcinside.com/mgallery/board/view/?id=sdijn&no=2588970
2,27,디시인사이드,재종,단과미적 브릿지볼텍스 교재비 청구왔는데 재종에서 어차피 줄거 맞나요,네,https://gall.dcinside.com/mgallery/board/view/?id=sdijn&no=2588969
2,27,디시인사이드,재종,이신혁 재종 어디들어가냐ㅅㅂ,"W s인데 박선이랑 나진환들어노나데
- dc official App",https://gall.dcinside.com/mgallery/board/view/?id=sdijn&no=2588967
2,27,디시인사이드,재종,ㅅㅂ 의대 새터였는데 안갔노,"재종 다니느라 카톡도 못봤네
나 이제 반수한다고 소문나냐?",https://gall.dcinside.com/mgallery/board/view/?id=sdijn&no=2588937
2,27,디시인사이드,재종,재종 조교들 볼때마다 ㅈ겉아짐,"나이 몇살 차이 안날텐데 쟤네는 ㅈㄴ 꾸미고 재밋게 사는데
난 여기서 ㅁ ㅓ하는거지 이런 현타가 ㅈㄴ 옴 특히 좀 이쁘장한 여조교들 보면 ㅇㅇ",https://gall.dcinside.com/mgallery/board/view/?id=sdijn&no=2588859
2,27,디시인사이드,재종,오늘 카이 독서 수업 진짜 개빡치네,"전 시간이 물리반이였는데 입구에서부터 악취가 남
물리애들 안씻는다는거 듣긴 했는데 막상 재종 가니까 다들 최소한 씻기는 하는것 같아서 좀 과장인가보다 했는데
하 안씻는건 인간적으로 이해가 안가네",https://gall.dcinside.com/mgallery/board/view/?id=sdijn&no=2588854
2,27,디시인사이드,재종,빌런이라고 저격먹는 친구,"저격 안했으면...
제로때부터 본 아가 욕먹는거 맘아프다
별로 신경 안쓰이던데 재종이라 예민한거냐
대답하라 해 걍
열심히 하는데",https://gall.dcinside.com/mgallery/board/view/?id=dshw&no=249007
2,27,디시인사이드,재종,이렇게 된거 류재민 수업도 들어보고싶네,"쌤들 수업 하나씩 다 들어보고싶다
재종현강 맛보기 강의 이런거 없나",https://gall.dcinside.com/mgallery/board/view/?id=dshw&no=248991
2,27,디시인사이드,재종,오늘부터 진지하게 다이어트 드가야겠다,"재종다닐동안 딱 15kg만 빼야지
태성관 엘베 지금부터 유기
- dc official App",https://gall.dcinside.com/mgallery/board/view/?id=sdijn&no=2588799
2,27,디시인사이드,재종,목본 o반..,"반배정 진짜 어떻게 한건지는 모르겠는데
아는 얘중에 국어5 수학4로 o반 들어온얘있음
특별전형으로 접수했다했고 언미생1화1인데
뭐때문에 반배정 저리 한건지 모르겠네
내신이 높었으려나
잘 아는 사이는 아니라 이야기 몇번만 해봤는데
o반이 무슨 반인지도 모르더라
일주일 들었는데 수학 과탐 수업 하나도 이해못하겠다고 힘들다는데
시발 당연히 못따라가지 애초에 재종을 왜온거고 왜 o반이야",https://gall.dcinside.com/mgallery/board/view/?id=sdijn&no=2588779
2,27,디시인사이드,재종,주말에 재종 친구 없는데,밥 어카냐 혼자 돌아가니면서 먹어야하나 도시락을 싸들고 가야하나,https://gall.dcinside.com/mgallery/board/view/?id=sdijn&no=2588760
2,27,디시인사이드,재종,부남들아 밸런스게임좀 하자,집 앞 잡재종 다니고 그 학원마녀랑 사귀면서 n수 생활vs,https://gall.dcinside.com/mgallery/board/view/?id=sdijn&no=2588725
2,27,디시인사이드,재종,현우 지금 합류 ㄱㅊ? 자료 목적임,"재종 현우랑 독재라이브 고민중
강기원 자료가 아쉬워서 옮기려고",https://gall.dcinside.com/mgallery/board/view/?id=csatlecture&no=292935
2,27,디시인사이드,재종,정석민 질문,개인적으로 질문하고싶은거 있는데 원래 끝나고 안 받아주심? 머 재종전용 인클래스나 카페도 없는 것 같은데..ㅇㄷ서 질문해야하나,https://gall.dcinside.com/mgallery/board/view/?id=dshw&no=248915
2,27,디시인사이드,재종,내일 시대가면 ta한테 질문할수잇는거임?,재종다니는대,https://gall.dcinside.com/mgallery/board/view/?id=sdijn&no=2588663
2,27,디시인사이드,재종,손승연,"지향하는 수업이 어려운 수업이 아님
닭장이라 엿같은건 이해하겠는데 첫날 모고 2틀 이상은 듣지 마라는 거 ㅈㄴ 오바
나 재작수
4등급 손승연 재종정규 풀커리타고 작수 1등급 찍음
권현석은 손승연보다 더 쉽다
닭장 싫고 어려운 수업 원하면 송준석 백종석 가고",https://gall.dcinside.com/mgallery/board/view/?id=dshw&no=248909
2,27,디시인사이드,재종,애초에 노베이스 그러니까 공부경험이 없는 대다수는,"재종스케쥴성실하게따라가는것도 벅차지않나
거기에 중간중간 뺑끼도 칠꺼고 ㅇㅇ",https://gall.dcinside.com/mgallery/board/view/?id=hanmath&no=10662112
2,27,디시인사이드,재종,생과맨 재종커리 어떻게 됨? 정석준,"단과처럼 9주하고 싱크로 기출풀이로 들어가는건가??
- dc official App",https://gall.dcinside.com/mgallery/board/view/?id=dshw&no=248818
2,27,디시인사이드,재종,통학 1시간 할만큼 재종의 메리트가 있다고 봅니까?,1주차라 아직은 잘 모르게승ㅁ,https://gall.dcinside.com/mgallery/board/view/?id=sdijn&no=2588446
2,27,디시인사이드,재종,재종 통학 1시간이상 걸리는애들있냐???????,주말에는 집앞스카가냐 걍 우직하게 학원가서 자습하냐,https://gall.dcinside.com/mgallery/board/view/?id=hanmath&no=10662018
2,27,디시인사이드,재종,태5 태s 재종 5일차 수고많았어,내일 ㅈㄴ 늦게 일어나야지 ㅋㅋㅋ,https://gall.dcinside.com/mgallery/board/view/?id=sdijn&no=2588416
