월,일,커뮤니티,타사명/키워드,제목,본문(내용),URL
3,6,디시인사이드,대성,대성마이맥 한석원 알파테크닉 수학2,"스포일러 경고 기능이 추가됐습니다.
(
펼침 메뉴 > 설정
에서 변경 가능)
[시리즈] 한석원의 실전개념서 알파테크닉 시리즈
· 재업,대성마이맥 한석원)알파테크닉 수학1
· 대성마이맥 한석원 알파테크닉 수학2
보닌스팩:05년생 24학번 수시충,수능 제대로 준비한적 한번도 없음,학점망해서 뒤늦게 수능 도전
수험표 할.인받으려고 친 26수능 성적
화작 49(백분위) 미적 81(백분위) 영어 4등급(69점)
동사 다찍고 7등급 사문 다찍고 7등급
책의 외형이다.
디자인은 분홍색이라서 좀 게이같은거 빼곤 괜찮다
가격은 31000원이다
목차다
특이점은 수학1에서 수열의 귀납법으로 매우 어렵고 힘든 마지막단원이 아닌,상당히 쉬운 EXERCISE 문제들로 구성되어있다.
단 일반적인 EXERCISE 문제보단 조금 어렵다.
책은 여전히
개념설명
EXERCISE(좆밥문제,없을때가 더많음)
수능발전문제
순서로 진행된다
단,수학2 특성상 교과서에 없는 개념도 증명후 알려주며,문제풀이시 애용한다
하지만 걱정할것은 없는게 사진에 있는 1대1대1대1이나 이차함수 공식이 전부이긴 했다
문제의 난이도는 전반적으로 킬러문제가 많이 박혀있다
수2 킬러 특성상 수1 킬러보다 훨씬 어려웠으며,이런 난이도의 문제를 10개이상 본거같았다.
사실상
작년 평가원
21번,22번
은 다 들어가있다고 보면된다
솔찍히 수2가 더 어렵다고 느꼈지만
필자의 완강시간은 약
50시간
으로
수학 1을 완강하는 시간의 70%밖에 걸리지 않았다.
+개인적인 수강추천법(짤이랑 관련없음)
1.
개념설명강의는 1.6배속으로 빠르게 듣자,3등급대라면 나처럼 무조건 하나이상은 건질수 있다.
(개념강의는 재탕이다)
2.EXERCISE문제는 빠르게 풀고 역시 1.6배속으로 듣자.아마 풀면 대부분은 맞을거다
3.수능발전문제는 1.0배속 or 1.2배속으로 듣자.쉬운파트도 있지만 빡센문제 ㅈㄴ많다
4.워크북은 파트별로 끝날때마자 풀자.
파트가 끝난다는 말은 교과서기준 한단원을 의미한다
ex)지수로그/삼각함수/수열 and 극한/미분/적분
유익했으면
개추",https://gall.dcinside.com/mgallery/board/view/?id=hanmath&no=10691604
3,6,디시인사이드,대성,대성갤은,"피농도가 왜이리 짙노
- dc official App",https://gall.dcinside.com/mgallery/board/view/?id=sdijn&no=2602707
3,6,디시인사이드,대성,당해 6월모평 성적으로 장학금을 일부 지원받는거 가능해?,"내 집 근처인 노량진 대성이나 강남대성 갈것 같은데
6월모평 잘보면 반수반때 장학금 받는거 있어?
야간반이나",https://gall.dcinside.com/mgallery/board/view/?id=dshw&no=251862
3,6,디시인사이드,대성,22개정 생명,"자금 대성만 있긴한데
생명 내신 대비해야하는데(부교재 완자)
1.한종철 개념 완자+자분기
2.백호 섬개완
3.대성에서 완자로 박선우 or 홍준용 발췌해서 듣기
뭐가 ㄱㅊ음? 돈은 크게 상관없긴함",https://gall.dcinside.com/mgallery/board/view/?id=csatlecture&no=295047
3,6,디시인사이드,대성,대성 패스 계정 빌려주는거 그린라이트?,"이번에 친해진 애 잇는데 대성 없다하니까 자기꺼 알려줄까라는데
- dc official App",https://gall.dcinside.com/mgallery/board/view/?id=itall&no=588706
3,6,디시인사이드,대성,님들 인강강사 돈 많이 범?,소위 말하는 1타 말고도 메가나 대성에 있는 사람들은 다 잘 범?,https://gall.dcinside.com/mgallery/board/view/?id=russelmg&no=46857
3,6,디시인사이드,이투스,아 이투스 안들었다,아.,https://gall.dcinside.com/mgallery/board/view/?id=hanmath&no=10694287
3,6,디시인사이드,이투스,근데 독재를 왜 가는거임?,이투스나 디랩처럼 특별한 자료 주지않는 이상은 독서실이 더좋지않나,https://gall.dcinside.com/mgallery/board/view/?id=sdijn&no=2603554
3,6,디시인사이드,이투스,근데 꼴타는 진짜 누가 듣는거야?,"막 이투스 4타 이하 같은거
진짜 아무도 안 들을거 같고 들을 이유도 없을거 같은데 그런거 듣는 사람들은 이유가 뭐임
막 커리 밀리거나 강사가 시즌 도중에 강의 유기 하는 경우도 있다던데",https://gall.dcinside.com/mgallery/board/view/?id=hanmath&no=10693046
3,6,디시인사이드,이투스,아이큐71 약대 합격,"경계선지능장애임
이투스 인강끊음
올해 약대목표로 공부중",https://gall.dcinside.com/mgallery/board/view/?id=hanmath&no=10692565
3,6,디시인사이드,메가,태블릿 꿀팁 아닌 꿀팁,,https://gall.dcinside.com/mini/board/view/?id=kanganedu&no=7293
