연,월,일,커뮤니티(오르비),타사명/키워드(크롤링 단어),제목,본문(내용),URL
2026,3,10,오르비,러셀,러셀대치 n종합반,"러셀대치 지금 커리큘럼이 다 진행이라서 지금 들어가면 빡셀 것 같아요.
그래서 5월에 들어가려 하는데 자리가 있을까요? 아님 그냥 지금 들어가서 따라갈까요?(몇몇 분은 인강으로 듣던 선생님이 아니셔서요.)",https://orbi.kr/00077850326/%EB%9F%AC%EC%85%80%EB%8C%80%EC%B9%98-n%EC%A2%85%ED%95%A9%EB%B0%98
2026,3,10,오르비,대성,인생곡 10선,"네루 - 로스트원의 호곡
요루시카 - 말해줘
요네즈 켄시 - 고고 유령선
라디오헤드 - 카르마폴리스
콜드플레이 - O
오렌지스타 - 공주열차
윤하 - 별의 조각
상대성이론 - 인공위성
MCR - The light behind your eyes
Mr. Big - Wild world
예상하셧을 것도 잇고
의외일 것도 잇고
그렇습니다",https://orbi.kr/00077848004/%EC%9D%B8%EC%83%9D%EA%B3%A1-10%EC%84%A0
2026,3,10,오르비,대성,아 어떡하지,"스블해 뉴런해 아직도 못 정했다 으아아아아ㅏㅇ
메가패스 있고 대성은 없는데 난 스블이 더 끌려서 고민임 어카지",https://orbi.kr/00077850855/%EC%95%84-%EC%96%B4%EB%96%A1%ED%95%98%EC%A7%80
2026,3,10,오르비,대성,수학5등급에서 3등급받으려면,26수능 수학 5등급이었습니다 올해 수능에서 3등급 받아야하는데 대성에서 누구듣는게좋을까요?ㅠㅜㅜㅜ작년에 너무 허수짓을 많이했어요ㅠㅠㅜㅜ공부법도 되면 알려주세여ㅜㅜ고수님들ㅜㅜ,https://orbi.kr/00077850968/%EC%88%98%ED%95%995%EB%93%B1%EA%B8%89%EC%97%90%EC%84%9C-3%EB%93%B1%EA%B8%89%EB%B0%9B%EC%9C%BC%EB%A0%A4%EB%A9%B4
2026,3,10,오르비,대성,공부의 방향성과 사설 커리 질문,"상황정리: 재수 종합 다니고 개같이 폭망하고 부모님께 손 벌리기 죄송해서 수능 끝나고 2월까지 알바하며 공부 조금씩 함. 현재 다시 수능 준비하며 ebs로 수능개념을 대강 끝냈고 국영수는 마더텅 기출 사서 푸는데 당연히 시간 내에 못푸는건 고사하고 문학은 어쩔땐 표현법도 틀리고 독서는 일관되지 않게 풀어서 그런가 계속 무너짐.
본론: 사설을 타려는데 풀커리에 대한 의문점과 무엇을 타야하는가
Q1) OT를 듣고 자신에게 잘 맞는 선생님을 골라 들으라 하는데 밥 먹고 인강을 들어도 안 졸린다는건지? 아님 잘 맞는 선생님을 찾으면 뇌에 팍 꽂힌다는건지?
Q2) 메가나 대성을 탈때 선택과목을 위주로 타는지?
Q3) 기출까지만 인강 듣고 자습시기를 늘려야할때는 언제인지?
ㅡㅡㅡㅡㅡㅡ
수특 ebs 들으려하는데 ㄱㅊ은지 까지가 제 질문이였음 혹시 답변 가능하면 정말 감사하단 말씀을 하겠습니다..",https://orbi.kr/00077852121/%EA%B3%B5%EB%B6%80%EC%9D%98-%EB%B0%A9%ED%96%A5%EC%84%B1%EA%B3%BC-%EC%82%AC%EC%84%A4-%EC%BB%A4%EB%A6%AC-%EC%A7%88%EB%AC%B8
2026,3,10,오르비,대성,아 나도 메가들을래..,19패스때 대성만사써.. ㅎㅎ,https://orbi.kr/00077852161/%EC%95%84-%EB%82%98%EB%8F%84-%EB%A9%94%EA%B0%80%EB%93%A4%EC%9D%84%EB%9E%98
2026,3,10,오르비,대성,션티 어떰요??,"동하쌤하나만보고 이투스 결제하기 좀 그래서
대성 산 김에 션티 들어볼까하는디
띵학이형은 졸려서 잘꺼같음
영어는 3정도임",https://orbi.kr/00077854386/%EC%85%98%ED%8B%B0-%EC%96%B4%EB%96%B0%EC%9A%94%3F%3F
2026,3,10,오르비,대성,야가한대사이가?,"(679.6K)
[3]
한대산 InDePTh 영어 독해 개념서 맛보기.pdf
안녕하세요.
한대산입니다.
얘기가 좀 길어질 것 같습니다.
천천히 읽어보시죠.
한대산 영어 연구소는 수능 영어 지문을 오랜 기간 추적하고 분석해 온 팀입니다.
저희는 글을 단순히 해석하고 문제를 푸는 대신,
정보가 어떤 순서와 구조로 연결되어 하나의 흐름을 만드는지를 연구해 왔습니다.
저희의 시작은 단순했습니다.
‘왜 같은 지문을 읽는데도 누군가는 전부 이해하고, 누군가는 중요한 것들을 놓칠까.’
이 질문에 답하기 위해 수천 개의 문항과 지문을 해체하고,
수백 문항을 제작하며 글이 만들어지는 원리와 사고 절차,
그리고 학습자의 이해 방식을 정리했습니다.
그 결과 탄생한 저희만의 독해 체계는
초고득점자들의 독해 방식을 누구나 재현할 수 있도록 만드는
가장 실질적인 도구가 되었습니다.
단순하지만 논리적인 이 방식은
결국 가장 높은 정확도와 가장 안정적인 결과로 이어집니다.
빠르게 변하는 시장 속에서도
저희는 ‘본질을 다루는 콘텐츠만이 오래 남는다’는 기준을 지켜 왔습니다.
이는 이상이 아니라,
매년 수많은 학생들이 실제로 증명해 온 사실입니다.
한대산 영어 연구소는 앞으로도
글을 읽고 이해하는 과정을 더 단순하고 명확하게 만들기 위해 연구를 이어갈 것입니다.
저희가 추구하는 목표는 단 하나,
누구나 글을 끝까지 읽을 수 있도록 돕는 것입니다.
수험생 여러분,
여러분은 수없이 많은 지문을 읽습니다.
하지만 그 글이 왜 그렇게 전개되는지,
그리고 어디로 흘러가는지를 설명할 수 있으신가요?
글이 붕 뜨고,
항상 매력적인 오답을 고르고,
틀린 문항을 피드백하려 해도
어디서부터 다시 봐야 할지 막막하지 않나요?
문장은 해석할 수 있지만,
글의 맥락은 여전히 보이지 않습니다.
그 이유는 단순합니다.
대부분의 독해가
문장을 조립하는 데서 멈추기 때문입니다.
InDePTh 영어 독해 개념서 2.0은
그 한계를 넘어
필자가 자신의 생각을 어떤 구조로 흐르게 하는가까지 보여줍니다.
수능 영어의 본질을 관통하는
논리적 인사이트가 담긴 책입니다.
이 책이 추구하는 것은
화려한 기술이나 억지스러운 지름길이 아닙니다.
오히려 글을 읽는 과정에서
필자의 사고를 독자의 사고로 옮겨오는
가장 단순한 방법을 제시합니다.
이 책은 영어 독해의 본질을
과정
으로 설명합니다.
그리고 그 과정을 누구나 재현할 수 있는 구조로 정리한
유일한 개념서입니다.
여러분은 이 책을 통해
수능 영어 상위 1%가 어떻게 글의 방향을 잡는지,
복잡한 문장을 만나도 어떻게 중심을 잃지 않는지,
그리고 어떤 사고 절차로 흐름이 만들어지는지를 경험하게 됩니다.
이 한 권에는
영어 독해의 핵심 개념,
중요 기출 문항의 분석,
그리고 한대산 Premium 고난도 N제 문항이 함께 담겨 있습니다.
문제 하나하나에 InDePTh식 사고가 녹아 있으며,
그 과정을 따라가다 보면
복잡한 글도 단순하게, 직관적으로 이해하는 힘이 생깁니다.
InDePTh는 화려한 독해법이 아닙니다.
그저 글을 읽는 가장 본질적인 방법,
즉 직관을 논리로 비추는 방식입니다.
모든 독해의 출발점,
InDePTh 영어 독해 개념서가 여기 있습니다.
아래와 같은 목차로 구성되어 있습니다.
Part 1. 글을 읽는 대원칙
Theme 1) 수능 영어 지문의 출제 원리
Theme 2) 모든 글은 유기적이다
Theme 3) 역삼각형 구조: 추상에서 구체로
Part 2. 필자의 의도를 파악하다
Theme 1) 스탠스란 무엇인가
Theme 2) 역학 관계
Theme 3) 맥락의 ‘층(Layer)’ 나누기
Part 3. 실전 독해 도구, InDePTh 완전 정복
Theme 1) InDePTh 표기법의 모든 것
Theme 2) 심화 적용: 순서와 삽입 문제 정복하기
Part 4. The Grand Finale: Final Drills
서평
대성 마이맥 영어강사 션티
“수능 영어란 표면(A)이 아닌 기저(B)를 보는 것이다.
학생들이 이를 수동적이지(A) 않고 능동적으로(B) 학습할 수 있게 하는
필자의 감각적인 언어와 체계적인 짜임새가 돋보인다.
이 책이 수능 영어에 대한 막연함(P)을 갖고 있는 학생들에게
한 줄기 빛(S)이 되어줄 것이라 믿어 의심치 않는다.”
한 줄기 빛을 보고 싶으시다면
↓(클릭)
레전드 고트 InDePTh 영어 독해 개념서 기다려라 내가 간다",https://orbi.kr/00077855534/%EC%95%BC%EA%B0%80%ED%95%9C%EB%8C%80%EC%82%AC%EC%9D%B4%EA%B0%80%3F
2026,3,10,오르비,이투스,[이투스리워드]이투스패스 이용후기,"재수 시작하기 전에는 환급없는 이투스 패스를 사용하여서 매달 돈 내는게 부담이 되었습니다.
재수를 시작하고 나서는 환급이 되는 이투스 패스가 있는것을 찾아서 바로 패스를 끊었습니다.
현재 4개월 넘게 사용중입니다. 패스에 가장 좋은 이점은 매일 강의를 1시간30분만 봐도 매일 돈이 들어오기때문에
사실상 매월 지불해야할 돈을 환급 받습니다. 또한 남은 환급비로 교재도 구매 할 수 있습니다.
다른 패스들과 다르게 매달 돈을 내는것이기 때문에 구독을 그만 하고 싶으면 바로 혜지 할 수 있습니다.
수강한 강의중에 단일비 강좌는 국어 노베이스였던 저에게 수능 국어란 무엇지 알게 해주는 강의였습니다.
국어 공부를 어떻게 하는지 몰랐기에그전까지는 그냥 지문을 읽고 문제를 풀고 답을 맞추는것이 국어 공부였다면
단일비 강의에서는 독서,문학의 읽는 방법과 선지 판단 방법, 오답정리 하는 방법등 국어를 처음 시작하는 수험생에게 매우 추천합니다!
또한 본교재와 체화서라는 부교재가 있는데
강의에서 배운 내용을 혼자 체화할수 있게 만들어 주는 책입니다. 자기 스스로 공부가 잘 되었는지
확인 할 수 있기 때문에 효과가 더욱 좋습니다.
공부를 하는것에 흥미가 없거나 목표가 없다면 매일매일 공부를 하면서 돈까지 같이 받을 수 있는
이투스 리워드 패스를 매우 추천합니다.
공부를 하기싫은 날이여도 돈이 걸려있기때문에 강의를 억지라도 듣다보면 다시 공부가 하고싶어지기 때문에
매일매일 학습을 할 수 있는힘을 줍니다. 현재 고3이 된 학생과 재수생들한테 매우매우 추천합니다!
저 또한 이투스 패를 끊고 나서 공부하는데 동기를 많이 받았습니다.
#이투스 #이투스리워드 #이투스월구독 #고3 #고2 #고1 #인강추천
“이 글은 본인이 직접 구독하여 수강한 강좌의 후기로 이투스 엠버서더에 참여하는 글입니다”",https://orbi.kr/00077849180/%5B%EC%9D%B4%ED%88%AC%EC%8A%A4-%EB%A6%AC%EC%9B%8C%EB%93%9C%5D-%EC%9D%B4%ED%88%AC%EC%8A%A4-%ED%8C%A8%EC%8A%A4-%EC%9D%B4%EC%9A%A9%ED%9B%84%EA%B8%B0
2026,3,10,오르비,메가,고3 영어 내신 대비용으로 ebs 어떤가요?,"2학년 학평 시험범위였을 때는 메가 고12 교재 사서 강의 듣고 풀었는데(문제 수 많더라고요) 이걸로 2-1, 2-2 1등급
ebs 수특 내신 대비 강좌도 괜찮나요?(퀄리티, 문제 수)",https://orbi.kr/00077847097/%EA%B3%A03-%EC%98%81%EC%96%B4-%EB%82%B4%EC%8B%A0-%EB%8C%80%EB%B9%84%EC%9A%A9%EC%9C%BC%EB%A1%9C-ebs-%EC%96%B4%EB%96%A4%EA%B0%80%EC%9A%94%3F
