연,월,일,커뮤니티(오르비),타사명/키워드(크롤링 단어),제목,본문(내용),URL
2026,2,27,오르비,러셀,러셀더프 외부생 신청했는데 제대로 된건가요...?,"아무런 문자도 뭐 공지도 없는데
시험지가 배달 온 다는건지
와서 보라는건지 모르겠어요",https://orbi.kr/00077736687/%EB%9F%AC%EC%85%80-%EB%8D%94%ED%94%84-%EC%99%B8%EB%B6%80%EC%83%9D-%EC%8B%A0%EC%B2%AD%ED%96%88%EB%8A%94%EB%8D%B0-%EC%A0%9C%EB%8C%80%EB%A1%9C-%EB%90%9C%EA%B1%B4%EA%B0%80%EC%9A%94%3F
2026,2,27,오르비,러셀,현역 강남러셀더프 빠꾸치나요?,"제목 그대로에요
더프 일단 결제는 했는데
혹시 빠꾸치나요?
한시간 걸려 갔는데 시험지주고 가라하면 어쩌죠ㅋㅋ
아 그리고 아직 사탐 시작 하나도 안해서
국영수만 보고 도망가도 성적표주나용
심찬우
이원준 추가모집 추가합격 김기현 이미지 현우진 더프리미엄 모의고사 사설 독재 재종",https://orbi.kr/00077741016/%ED%98%84%EC%97%AD-%EA%B0%95%EB%82%A8%EB%9F%AC%EC%85%80-%EB%8D%94%ED%94%84-%EB%B9%A0%EA%BE%B8%EC%B9%98%EB%82%98%EC%9A%94%3F
2026,2,27,오르비,대성,대성은 교재만 구매는 안됨?,김준 케미스토리 기출문제집 사려고했는데 강좌가 없어서 구매가 안된다고하네..,https://orbi.kr/00077736462/%EB%8C%80%EC%84%B1%EC%9D%80-%EA%B5%90%EC%9E%AC%EB%A7%8C-%EA%B5%AC%EB%A7%A4%EB%8A%94-%EC%95%88%EB%90%A8%3F
2026,2,27,오르비,대성,대성패스 쉐어 하실 분 구해용,10정도 생각하고 잇고 와파끄고 다운해서 들으실 분!! 교재구매는 배송지 때문에 안 돼요ㅜ,https://orbi.kr/00077737535/%EB%8C%80%EC%84%B1%ED%8C%A8%EC%8A%A4-%EC%89%90%EC%96%B4-%ED%95%98%EC%8B%A4-%EB%B6%84-%EA%B5%AC%ED%95%B4%EC%9A%A9
2026,2,27,오르비,대성,대성패스 양도 30,"대성패스 30에 양도합니다
배송비 무료패스입니다",https://orbi.kr/00077737614/%EB%8C%80%EC%84%B1-%ED%8C%A8%EC%8A%A4-%EC%96%91%EB%8F%84-30
2026,2,27,오르비,대성,기숙 학원 어디 가는게 좋을까요?,"일단 시대인재, 강남대성의대관, 메가스터디 hs반 넣어놨는데 메가스터디만 연락왔고 나머지도 전화 해보니까 한달 안에는 들어갈 수 있을 것 같은데 어디로 가는게 맞을까요...?
친구한테 물어봤는데 너 과탐 두개 하니까 시대인재가 제일 괜찮다고 하긴 했는데, 차이가 많이 날까요?
아니면 다른데 들어가도 서바이벌, 브릿지 구매할 수 있으니까 이렇게 해도 괜찮을까요?
설마 외부 콘텐츠 못사게 하는건 아니겠죠...?",https://orbi.kr/00077737689/%EA%B8%B0%EC%88%99-%ED%95%99%EC%9B%90-%EC%96%B4%EB%94%94-%EA%B0%80%EB%8A%94%EA%B2%8C-%EC%A2%8B%EC%9D%84%EA%B9%8C%EC%9A%94%3F
2026,2,27,오르비,대성,사문 커리 ㅊㅊ 좀,"대성, 메가 둘다 있어서 사문,생윤 둘다 임정환 리밋으로 하는데 생윤은 계속 임정환으로 갈거같아요
근데 찾아보니까 사문 도표가 윤성훈이 고트라 해서 개념으로 리밋듣고 도표를 m skill 들을려하는데
일반 문제를 임정환꺼 들을지 아님 윤성훈꺼 들을지 고민중인데 ㅊㅊ좀 해주세요",https://orbi.kr/00077737950/%EC%82%AC%EB%AC%B8-%EC%BB%A4%EB%A6%AC-%E3%85%8A%E3%85%8A-%EC%A2%80
2026,2,27,오르비,대성,정석민T만 들을건데대성패스 사는게 낫나요,"정석민T 비독원이랑 문개정부터 들을거고 아마 거의 풀커리 탈 것 같은데 각 강좌 구매하는 것보다 그냥 대성패스 사는게 가격 측면에서 낫나요? 개별 강좌는 수강기간도 있어서…
다른 과목은 전부 메가에서 들을 생각이고 대성만 국어때문에 지금 고민중입니다",https://orbi.kr/00077738059/%EC%A0%95%EC%84%9D%EB%AF%BCT%EB%A7%8C-%EB%93%A4%EC%9D%84%EA%B1%B4%EB%8D%B0-%EB%8C%80%EC%84%B1%ED%8C%A8%EC%8A%A4-%EC%82%AC%EB%8A%94%EA%B2%8C-%EB%82%AB%EB%82%98%EC%9A%94
2026,2,27,오르비,대성,수리논술,"작수 미적 84점. (2합 5, 3합 8)
수시 6광탈이후 정시로 인서울 대학 가긴했는데 수시반수하면서 논술 준비도 해보려고 합니다. (참고로 논술 노베, 2학기 휴학 예정)
대성패스로 논술공부랑 최저공부할 생각인데 논술에 대해 궁금한 점이 있습니다.
1) 논술 공부는 언제쯤부터 시작하나요? 찾아보니깐 어느정도 수능공부 끌어올리고 6월 이후? 이쯤 하는것 같던데
2) 대성 신재호 선생님 the simple 수리논술 강의 듣고 대학별 기출 풀면 되는건가요?
논술 학원도 막판에는 다닐까 생각중입니다.",https://orbi.kr/00077738874/%EC%88%98%EB%A6%AC%EB%85%BC%EC%88%A0
2026,2,27,오르비,대성,국어커리,"국어 2026 6모 3등급 9모 4등급 수능 5등급 떳는데;;;
문학에서ㅜ시간이 부족해서 독서를 못건드는 그런느낌인데
김민정이랑 박광일 중에 문학 뭐가 더 나을까요…
대성도 잇긴잇어요 독서는
국정원
노베 하는 중인데 확실히 좋아졋는데 문학은 제자리 걸음 하는 느낌",https://orbi.kr/00077739300/%EA%B5%AD%EC%96%B4%EC%BB%A4%EB%A6%AC
