연,월,일,커뮤니티(오르비),타사명/키워드(크롤링 단어),제목,본문(내용),URL
2026,2,23,오르비,러셀,261122,님들 지금 러셀 베이스캠프 지로함 문제하고 작년 이해원 피날레 지로함 22번 풀었는데 만약제가 작년 수험생으로서 실전력만 받혀준다면 261122풀수 있었음? (뭐 수능장체감 이런거 말고)실제로 그때 당시 261122못풀어서 해설봤음,https://orbi.kr/00077690035/261122
2026,2,23,오르비,러셀,러셀대치 시험 장소,"대치러셀 정규반 다니셨던 선배림들
더프나 전대실모같은 시험은 바자관에서 보나요,아니면 다른 강의실로 옮겨가서 보나요?",https://orbi.kr/00077694515/%EB%9F%AC%EC%85%80-%EB%8C%80%EC%B9%98-%EC%8B%9C%ED%97%98-%EC%9E%A5%EC%86%8C
2026,2,23,오르비,러셀,대치러셀강매 무시하면 어케됨 ??,"바자관 등록하는데
오메가 ㄹㅇ 안풀건데
6만원어치 강매시킴 ;;;
오메가 풀 생각 없는데...
심지어 3월에 나오는 오메가를 사고싶지는 않음
10월 9월도 아니고
더프까지 합하면 8 - 9 만원임 ;;;
매달 이렇게 나가는건데
안사면 어케됨 ?????",https://orbi.kr/00077694895/%EB%8C%80%EC%B9%98-%EB%9F%AC%EC%85%80-%EA%B0%95%EB%A7%A4--%EB%AC%B4%EC%8B%9C%ED%95%98%EB%A9%B4-%EC%96%B4%EC%BC%80%EB%90%A8-%3F%3F
2026,2,23,오르비,러셀,김기현쌤 VS 김성은쌤,"수학 현강들을 건데
김기현쌤 듣는 게 나을까요 김성은쌤 듣는게 나을까요
둘다 N제 입니다
수학 고2땐 2~3나왔는데
자퇴하면서 실력 좀 떨어져서 고민됩니다
러셀에서 모의고사 봤는데 러셀 기준 수학6, 수능 예상 기준 3. 뜨더라고요 (선택과목 미적분)
어떤 강의가 더 나을까요
너무 고민됩니다ㅜㅜ",https://orbi.kr/00077699031/%EA%B9%80%EA%B8%B0%ED%98%84%EC%8C%A4-VS-%EA%B9%80%EC%84%B1%EC%9D%80%EC%8C%A4
2026,2,23,오르비,러셀,제발 수학 현강쌤 좀 골라주세요ㅜㅠ,"김기현 쌤이랑 김성은쌤 중에 고민하고 있는데
누가 더 나을까요
고2땐 수학 2~3등급 나왔는데 요즘은 좀 실력 떨어진것 같아요
러셀 모고 보니까 러셀 기준 6, 수능예상 3 뜨더라고요(미적분)
중간난이도 3점도 가끔 헷갈리는 것 같아요
제발 추천좀 해주세요ㅠㅠ",https://orbi.kr/00077700457/%EC%A0%9C%EB%B0%9C-%EC%88%98%ED%95%99-%ED%98%84%EA%B0%95%EC%8C%A4-%EC%A2%80-%EA%B3%A8%EB%9D%BC%EC%A3%BC%EC%84%B8%EC%9A%94%E3%85%9C%E3%85%A0
2026,2,23,오르비,대성,윤성훈 들으려고 메가패스는 사친가요,"대성 패스 보유중인데 임정환 사문이 넘 안맞음 ㅜㅜ 작년 윤성훈 들엇을때 넘 좋았는데 단과강좌는 너무 가성비 똥인거같아서,, 고민중인에요 다른 과목은 다 대성이 맞아서 고민이네요",https://orbi.kr/00077692333/%EC%9C%A4%EC%84%B1%ED%9B%88-%EB%93%A4%EC%9C%BC%EB%A0%A4%EA%B3%A0-%EB%A9%94%EA%B0%80%ED%8C%A8%EC%8A%A4%EB%8A%94-%EC%82%AC%EC%B9%9C%EA%B0%80%EC%9A%94
2026,2,23,오르비,대성,그래서 윤도영t대성계약 얼마나 남음?,보기 드문 캐릭터긴 해,https://orbi.kr/00077692336/%EA%B7%B8%EB%9E%98%EC%84%9C-%EC%9C%A4%EB%8F%84%EC%98%81t-%EB%8C%80%EC%84%B1-%EA%B3%84%EC%95%BD-%EC%96%BC%EB%A7%88%EB%82%98-%EB%82%A8%EC%9D%8C%3F
2026,2,23,오르비,대성,재수학원 다니고 있는 수학 9등급의 공부질문,"안녕하세요 지금 재수학원 다니고 있는 07이고 다닌지는 3주정도 됐습니다 제목에서 보셨다시피 노베이구요 수능때 국어 4 수학 9  영어 7 사문생윤 5,6 떴습니다
원래는 대학에 욕심 없었는데 그래도 최대한 해봐서 할 수 있는데까지 후회 없이 해보고 싶어서 재수학원 오게됐고 부모님도 적극지지해주셔서 재수학원에 왔습니다
점심 저녁 거르고 맨날 빵 먹으면서 14시간씩 하는데도 뭔가 공부를 안해봤다보니까 양은 많은데 질이 좀 딸리는 거 같아요.. 그리고 정규반 들어오면 자습시간 줄어드는데 어떻게 해야할지, 과목 밸런스를 어떻게 잡을지,, 등등 잘 모르겠어서 여쭤보고 싶습니다
대성패스 구입했고 인강은
국어
-김승리 올오카 독서,문학 듣는중이고 김승리 커리로 쭉 갈 거 같습니다
수학
- (50일 수학+ 수1 수업 수열파트 병행중) 50일 수학 다 듣고 정승제로 수상하까지는 확정이고 그 다음 수1,수2 ,확통을 정승제로 갈지 정상모로 갈지도 고민이 됩니다
영어
- (이명학 일리 완강)-션티 kissave 듣고있고 그 뒤부턴 이명학 신택스로 갈지 션티로 쭉 가는게 나은지 고민이 됩니다
사탐
-임정환 사문 생윤 커리 쭉 갈 거 같습니다
몇가지 여쭤보고 싶은것들은
1. 50일 수학 다 들으면 3월 초? 쯤 되는데 그때 수상하 나가면  딥하게(문제 좀 더 풀면서)하고 수1수2 가야될까요 아니면 수꼭필 정도만하고 수1수2로 가야될까요 어차피 수1수2는 수업 진도에서 나가니까 개인적으론 베이스를 좀 탄탄하게하고싶습니다
+그리고 확통은 언제부터 해야할까요?
2. 과목 밸런스를 어떻게 잡을지 모르겠습니다 수학을 6시간 정도 잡으면 만약 수업이 있는날이면 자습시간이 6시간~ 8시간 정도고  주말은  순공시간 14시간 정도 확보 가능합니다 수학 국어 영어 비율을 어떻게 잡고 사탐도 노베니까.. 어떻게 분배할지 잘 모르겠습니다
수학 하루에 최소 몇시간 최소 영어 몇시간 등 제 기준에서 알려주시면 감사하겠습니다..
(재수
수학 수업
은 평일에 7시간
국어수업
5시간
영어수업
3시간
생윤,
사문
수업
은 금,일에 각각 3시간씩 있습니다 )
그리고 야자시간 4시간 정도는 연속으로 다 자습입니다
3. 영단어 기초도 부족한데 중등 단어장을 같이 보는건 별로일까요? 지금은 해커스 보카 단어장 외우고 있습니다
4.국어가 4등급으로 다른 과목보다 상대적으로 높지만 많이 부족하다고 느끼고 특히 저는 읽을때 너무 시간이 많이 걸려서 화작 평균 17~20분에 문학 40분 정도 걸립니다 그러면 독서를 너무 많이 버려서… 독해력 기르려면 어떻게 해야될까요? 자기전에 20분정도 기숙사에서 몰래 데일카네기 책 읽고있는데 독해력에 되움 되겠죠?
5. 이건 좀 공부와는 거리가 먼 질문인데 제가 원래 잠이 많은 타입이라 아침 일어나자마자 매일 몬스터 한 캔 씩 먹는 루틴 관리로다가 그만 먹어야 할지 아니면 수능날까지 계속 먹어야할지 모르겟네요 ㅜ 안먹으면 무조건 졸리고 졸리면 뇌가 안 돌아갑니다..
긴 글 봐주셔서 감사합니다 인천대가 목표입니다",https://orbi.kr/00077693850/%EC%9E%AC%EC%88%98%ED%95%99%EC%9B%90-%EB%8B%A4%EB%8B%88%EA%B3%A0-%EC%9E%88%EB%8A%94-%EC%88%98%ED%95%99-9%EB%93%B1%EA%B8%89%EC%9D%98-%EA%B3%B5%EB%B6%80%EC%A7%88%EB%AC%B8
2026,2,23,오르비,대성,대성패스대성마이맥 양도,30,https://orbi.kr/00077693918/%EB%8C%80%EC%84%B1%ED%8C%A8%EC%8A%A4-%EB%8C%80%EC%84%B1%EB%A7%88%EC%9D%B4%EB%A7%A5-%EC%96%91%EB%8F%84
2026,2,23,오르비,대성,반수 준비,"27수능 반수로 준비할 반수생임.
말을 잘 못해서 딱 본론만 얘기함
1. 반수 준비 중인데, 인강(이투스, 메가, 대성)이 꼭 필요함?(ebs랑 기출, 이후 중고나 직접 사이트에서 사설 모고는 구매할 예정, 기초 개념 문제집은 다 있음)
현역 때도 인강은 수학이나 생명? 정도만 봤음
2. 인강 구매하면 대성이나 이투스을 구매하려고 하는데, 조언 부탁
3. 26수능에서는 언매, 미적, 생명, 생윤을 봤는데 27에서는 화작, 미적은 고정인데 탐구로 생명, 생윤을 볼지 아님 둘 다 사탐(생윤, 사문) 또는 생윤 대신 사문을 생명과 함께 볼지 고민
4. 문제집 추천(마더텅 살 예정 그 외 문제집)
26 수능 등급
국5 수4 영4 생명5 생윤4
27 수능 목표 등급
모든 등급 2등급",https://orbi.kr/00077694217/%EB%B0%98%EC%88%98-%EC%A4%80%EB%B9%84
