월,일,커뮤니티,타사명/키워드,제목,본문(내용),URL
3,10,디시인사이드,러셀,대구 러셀 쌤들 수업할때 말검?,"극I여서 사람많은데 질문같은거받으면 바로 장애되는데
그냥 강의식으로 빠르게나가고 끝인가요?",https://gall.dcinside.com/mgallery/board/view/?id=russelmg&no=46978
3,10,디시인사이드,러셀,스투 vs 대치러셀 인풋 누가 압승임,ㅇㅇ,https://gall.dcinside.com/mgallery/board/view/?id=dshw&no=253920
3,10,디시인사이드,러셀,왜 김동욱은 시대에서 강의하는거임?,"러셀에서 단과를 왜 안해 ㅅㅂ
두각까지 기어가야 하네
- dc official App",https://gall.dcinside.com/mgallery/board/view/?id=russelmg&no=46973
3,10,디시인사이드,러셀,대구러셀 ㄱㅊ음?,들어갈까 생각중인데 뭐 담임이 떠든다는 글이 밑에 있길래 전체적으로 ㄱㅊ음?,https://gall.dcinside.com/mgallery/board/view/?id=russelmg&no=46972
3,10,디시인사이드,러셀,이거 러셀 최상위기숙 반 어딘지 아는 사람?? ㅠㅠ,"알려주면 수능 찍맞 +1
6모 22122로 지원함
90 92 1 91 91
중간반이려나??",https://gall.dcinside.com/mgallery/board/view/?id=russelmg&no=46969
3,10,디시인사이드,러셀,러셀 울산 식사후 흡연 가능함?,대성은 되던데,https://gall.dcinside.com/mgallery/board/view/?id=russelmg&no=46962
3,10,디시인사이드,러셀,나 러셀 다닐때 상담,"9모 상담을 10월 초중순쯤에 했음.. 그때까지 난 언제 상담해주나 ㅈㄴ 기다렸는데 막상 상담때 도움 별로 안되는 말들만 들었음
그냥 상담 기다리지말고 그냥 신경쓰지말고 공부하는게 맞는듯..
진짜 급하면 담임쌤한테 말씀 드리면 먼저 해준다고 하시긴 해
- dc official App",https://gall.dcinside.com/mgallery/board/view/?id=russelmg&no=46961
3,10,디시인사이드,러셀,진심으로 너네 걍 지방살면 잇올가라,"지방 대성 러셀 둘다 좇같으니까
- dc official App",https://gall.dcinside.com/mgallery/board/view/?id=hanmath&no=10712041
3,10,디시인사이드,러셀,나도 스카 단과 재수하고 싶다고,"러셀 다니기 싫었어 나도
- dc official App",https://gall.dcinside.com/mgallery/board/view/?id=hanmath&no=10711853
3,10,디시인사이드,러셀,아 씨발 그냥 러셀 의무시수 결제하기 ㅈㄴ ㅈ같은데,"일부러 일주일 지난 후 결제할까
- dc official App",https://gall.dcinside.com/mgallery/board/view/?id=hanmath&no=10711839
3,10,디시인사이드,러셀,니들보통 단과 몇개듣냐 하...,"러셀 다녀서 의무시수2개 + 이정수 김범준 듣는 중인데
- dc official App",https://gall.dcinside.com/mgallery/board/view/?id=csatlecture&no=296659
3,10,디시인사이드,러셀,국수영 263 재종 vs 독재,"제 상황이 작년 수능 국어 화작 2등급, 수학 확통 6등급 (아무것도 모름, 그냥 다 찍음), 영어 3 인데요
러셀 단과 현강으로 국어 영어를 듣고 수학을 기초부터 자습할지 vs 독재에서 국영수 다 자습할지 고민입니다
대부분의 시간을 수학에 써야 하는 상황이라 국어 영어를 현강 들으면서 시간을 쓰는 게 맞나 싶기도 하고
국어 영어는 강의 들을 필요 없다고도 하는 것 같고 2~3등급이면 어떻게 해야 할지...
고수분들 제발 한번만 도와주세요 ㅠㅠ",https://gall.dcinside.com/mgallery/board/view/?id=russelmg&no=46959
3,10,디시인사이드,대성,여러분 대성갤은,"당신들의 허접하고 음침한 내적스토킹 사실을 열거하는
곳이 아닙니다",https://gall.dcinside.com/mgallery/board/view/?id=dshw&no=253951
3,10,디시인사이드,대성,안냐세요 이창무샘임다 이거 한번만 더 듣고싶은데,대성도 영상 내렷네..,https://gall.dcinside.com/mgallery/board/view/?id=hanmath&no=10714334
3,10,디시인사이드,대성,대성 수학,"작수 2임
프메로 기출하고 스블 듣는게 베스트지?
- dc official App",https://gall.dcinside.com/mgallery/board/view/?id=csatlecture&no=296771
