연,월,일,커뮤니티(오르비),타사명/키워드(크롤링 단어),제목,본문(내용),URL
2026,2,21,오르비,러셀,인문논술러셀장진석t / 로고스•프로세스 어디 다니는 게 맞을까요,"논술 제대로 아는 게 없어서 처음으로 여쭤봅니다…
러셀 인문논술 장진석t 가 나을까요 로고스나 프로세스 같은 논술 전문학원이 나을까요? 아는 선배는 러셀을 더 추천해주시긴 했는데 고민됩니다 평도 좋은 것 같아서요",https://orbi.kr/00077664314/%EC%9D%B8%EB%AC%B8%EB%85%BC%EC%88%A0-%EB%9F%AC%EC%85%80-%EC%9E%A5%EC%A7%84%EC%84%9Dt-/-%EB%A1%9C%EA%B3%A0%EC%8A%A4%E2%80%A2%ED%94%84%EB%A1%9C%EC%84%B8%EC%8A%A4-%EC%96%B4%EB%94%94-%EB%8B%A4%EB%8B%88%EB%8A%94-%EA%B2%8C-%EB%A7%9E%EC%9D%84%EA%B9%8C%EC%9A%94
2026,2,21,오르비,러셀,3월부터 실모반 들어가는것에대해,러셀코어 다니는데 시수때문에 이감 모고 풀고해설해주는반? 들어가려고합니다 국어는 인강으로듣고있는데 다른커리 하나 더 듣는건 너무 많을거같아서 이감풀어주는거 들어가려고하는데 3월부터 실모풀고 그런건 너무 별로일까요 아님 시간관리차에서 미리부터할까요,https://orbi.kr/00077666151/3%EC%9B%94%EB%B6%80%ED%84%B0-%EC%8B%A4%EB%AA%A8%EB%B0%98-%EB%93%A4%EC%96%B4%EA%B0%80%EB%8A%94%EA%B2%83%EC%97%90%EB%8C%80%ED%95%B4
2026,2,21,오르비,대성,대성패스 가격 46에서 더 내려갈 가능성이 있을려나요,N수할인 9만원 받아서 46입니덩,https://orbi.kr/00077663477/%EB%8C%80%EC%84%B1%ED%8C%A8%EC%8A%A4-%EA%B0%80%EA%B2%A9-46%EC%97%90%EC%84%9C-%EB%8D%94-%EB%82%B4%EB%A0%A4%EA%B0%88-%EA%B0%80%EB%8A%A5%EC%84%B1%EC%9D%B4-%EC%9E%88%EC%9D%84%EB%A0%A4%EB%82%98%EC%9A%94
2026,2,21,오르비,대성,대성교재결제 ㅅㅂ이거 뭐임,이미패스 있어서 교재만 결제할려 했는데 구글 인앱정책 ㅈ같은거 뜨는데 어캄?,https://orbi.kr/00077666451/%EB%8C%80%EC%84%B1%EA%B5%90%EC%9E%AC%EA%B2%B0%EC%A0%9C-%E3%85%85%E3%85%82%EC%9D%B4%EA%B1%B0-%EB%AD%90%EC%9E%84
2026,2,21,오르비,대성,대성마이맥 우체국택배,군부대로 배송되나요?,https://orbi.kr/00077666861/%EB%8C%80%EC%84%B1%EB%A7%88%EC%9D%B4%EB%A7%A5-%EC%9A%B0%EC%B2%B4%EA%B5%AD%ED%83%9D%EB%B0%B0
2026,2,21,오르비,대성,대성택배 일요일,"오늘 배송 시작 예정이라 떴는데 일요일에도 오나요?
내일 오면 안되는데...",https://orbi.kr/00077668766/%EB%8C%80%EC%84%B1-%ED%83%9D%EB%B0%B0-%EC%9D%BC%EC%9A%94%EC%9D%BC
2026,2,21,오르비,대성,서강대는 줄이기가 너무 애매함,"굳이 줄여야 되나 싶기도 하지만
성균관대=>성대
한양대=>냥대
근데 서강대는 서울대처럼 서와 ㄹ받침 합쳐서 성대라 하면 성균관대랑 겹치고
서대라 하면 맛이 안살고
강대라 하면 강남대성이 되어버림",https://orbi.kr/00077669636/%EC%84%9C%EA%B0%95%EB%8C%80%EB%8A%94-%EC%A4%84%EC%9D%B4%EA%B8%B0%EA%B0%80-%EB%84%88%EB%AC%B4-%EC%95%A0%EB%A7%A4%ED%95%A8
2026,2,21,오르비,대성,대성마이맥 왜이럼?,"군수중이라 다운받아서 보는데 다운하다가 계속 팅기고
다운 받은거 들어가보면 7강 다운안되길래 포기했더니 6강내용이 7강이고 이럼 뭡니까 대체",https://orbi.kr/00077670864/%EB%8C%80%EC%84%B1%EB%A7%88%EC%9D%B4%EB%A7%A5-%EC%99%9C%EC%9D%B4%EB%9F%BC%3F
2026,2,21,오르비,대성,화1 고석용 들을만한가요,"작년에 8월까지 유기하다가 9월부터 김준 크포 듣고 수능때 45(96) 띄웠음
올해 대성패스 구매하자니 김준말곤 딱히 들을 사람이 없어서 돈아까운데
고석용으로 대체 ㄱㄴ?
그냥 감 잃지 않을 정도로만 할거임",https://orbi.kr/00077671448/%ED%99%941-%EA%B3%A0%EC%84%9D%EC%9A%A9-%EB%93%A4%EC%9D%84%EB%A7%8C%ED%95%9C%EA%B0%80%EC%9A%94
2026,2,21,오르비,대성,[물1 과외모집] 인강 1타 조교가 과외 모집합니다!,"안녕하세요, 정상화입니다.
25수능 현장 응시 만점
26수능 현장 응시 만점
모 인강사이트 물리학 1타 강사 조교
물1 과외 누적 수강생 10명 이상
시범과외 성사율 100%
'물1을 누가 한다고 과외를 하겠다는 거냐' 라고 생각하시는 분들도 계시겠지만, 제가 가장 좋아하고 가장 자신 있는 과목이기에 물1을 선택한 학생분들께 실질적인 도움을 드리고자 물1 전문 과외를 진행하게 되었습니다.
물1은 한 번 궤도에 오르면 이후에는 큰 부담 없이 대부분의 시험에서 안정적으로 만점을 받아낼 수 있는 과목입니다. 많은 수험생들이 물리를 어려워하는 이유는 이 궤도에 오르기 전 단계에서 길을 잃기 때문입니다.
저는 수년간의 수험생활 동안 '궤도에 오르는 방법'을 체계적으로 정리해 왔고, 과외를 하며 학생들에게 적용하고 다시 제 수험생활에 피드백하는 과정을 수없이 반복해왔습니다.
그 결과, 제가 가르쳤던 학생들은
5등급->2등급,
3등급->만점,
2등급->만점
이라는 성과를 만들어냈고,
저 역시
25, 26수능 현장 응시하여 모두 50점 만점
을 받아 결과로 증명했습니다.
이젠 여러분께
물리를 푸는 제 사고 과정을 그대로 전달해드리겠습니다.
관심 있으신 분들은 하단 링크를 통해 오르비 과외시장으로 연락 부탁드립니다.
오르비 과외시장
아래는 제가 그동안 오르비에 연재했던 물1 칼럼과 손풀이 자료입니다.
26 수능
25 7월 학평
25 5월 학평
25 3월 더프
25 수능
물리 물리학 물1 물리1 물리학1 과외 과탐 현정훈 배기범 강민웅 방인혁 메가스터디 메가 대성마이맥 대성",https://orbi.kr/00077672541/%5B%EB%AC%BC1-%EA%B3%BC%EC%99%B8%EB%AA%A8%EC%A7%91%5D-%EC%9D%B8%EA%B0%95-1%ED%83%80-%EC%A1%B0%EA%B5%90%EA%B0%80-%EA%B3%BC%EC%99%B8-%EB%AA%A8%EC%A7%91%ED%95%A9%EB%8B%88%EB%8B%A4%21
