월,일,커뮤니티,타사명/키워드,제목,본문(내용),URL
3,3,디시인사이드,러셀,아러셀에데프트닮은남자잇엇는데,"다른관갓네..ㅜ
- dc official App",https://gall.dcinside.com/mgallery/board/view/?id=hanmath&no=10682210
3,3,디시인사이드,러셀,러셀에서 둠강보는 미친년,"ㅇ?
- dc official App",https://gall.dcinside.com/mgallery/board/view/?id=hanmath&no=10682184
3,3,디시인사이드,러셀,러셀 강매 컨 있음?,"오메간지 뭔지 그거 국영수탐 모두 강매임?
- dc official App",https://gall.dcinside.com/mgallery/board/view/?id=russelmg&no=46795
3,3,디시인사이드,러셀,님들 내년에 태성관 러셀되는거 앎?,"ㅇㅇ
- dc official App",https://gall.dcinside.com/mgallery/board/view/?id=sdijn&no=2598496
3,3,디시인사이드,러셀,정식이 저기 러셀대치노,"정겹다
- dc official App",https://gall.dcinside.com/mgallery/board/view/?id=sdijn&no=2598495
3,3,디시인사이드,러셀,부천 러셀 반배정 어케된거임?,"디시에 어떤 사람이 4층 1관이 블루,그린 이라는데
난 연고대인데 4층 1관인데 머냐",https://gall.dcinside.com/mgallery/board/view/?id=russelmg&no=46787
3,3,디시인사이드,러셀,러셀대치 다니는 애들아,"너네는 시대말고 여기 선택한 이유가 뭐임
ㅆㅎㅌㅊ 컨텐츠, 그마저도 별로없음
난 지방러셀 다녀서 강사들도 주변 내신학원보다 못함..
6모 이후부터는 진짜 시대 가고싶은데 그냥 순응하고 러셀 다녀야하나 ㅠ
러셀만의 장점이 뭐임 마음 다잡게..",https://gall.dcinside.com/mgallery/board/view/?id=russelmg&no=46785
3,3,디시인사이드,러셀,러셀 강매컨 뭐임?,"ㅇㅇ
- dc official App",https://gall.dcinside.com/mgallery/board/view/?id=hanmath&no=10681268
3,3,디시인사이드,러셀,러셀 다니는 3끼 와보셈,"ㅇㅇ
- dc official App",https://gall.dcinside.com/mgallery/board/view/?id=hanmath&no=10681257
3,3,디시인사이드,러셀,러셀에서 듣고 싶은 강사가 진짜 없음.,"ㅅㅂ
- dc official App",https://gall.dcinside.com/mgallery/board/view/?id=hanmath&no=10680909
3,3,디시인사이드,러셀,러셀급식 대략 얼마임,"ㅇㅇ
- dc official App",https://gall.dcinside.com/mgallery/board/view/?id=hanmath&no=10680894
3,3,디시인사이드,러셀,좇곳거 러셀이라 우러써..ㅣ,"ㅅ1ㅂ 경제는 단과도 없네
- dc official App",https://gall.dcinside.com/mgallery/board/view/?id=hanmath&no=10680880
3,3,디시인사이드,러셀,아오 ㅅㅂ 러셀 의무단과 ㅈ같노,"ㄹㅇ이
- dc official App",https://gall.dcinside.com/mgallery/board/view/?id=hanmath&no=10680872
3,3,디시인사이드,러셀,러셀 의무단과 그냥 김성은 듣고 ㅋㅋㅋ,"빡갤념글 날먹할까
- dc official App",https://gall.dcinside.com/mgallery/board/view/?id=hanmath&no=10680868
3,3,디시인사이드,러셀,러셀 의무단과 2개 들어야 하는데,"하나는 조정식으로 고정인데
신성규는 어떰? 원래 김범준 들었음.
- dc official App",https://gall.dcinside.com/mgallery/board/view/?id=csatlecture&no=294290
3,3,디시인사이드,러셀,러셀 김기현 서킷이라길레 강대컨 주나? 했는데,"아예 자체컨이 서킷 ㅅ1ㅃ
- dc official App",https://gall.dcinside.com/mgallery/board/view/?id=hanmath&no=10680637
3,3,디시인사이드,러셀,러셀에서 언매만 수업하는 강사 없나,"ㅇㅇ
- dc official App",https://gall.dcinside.com/mgallery/board/view/?id=hanmath&no=10680590
3,3,디시인사이드,러셀,러셀 더프로 월반 가능하냐,"ㅇㅇ
- dc official App",https://gall.dcinside.com/mgallery/board/view/?id=hanmath&no=10680440
3,3,디시인사이드,러셀,러셀 그린반이면 의무단과 몇개임?,"ㅇㅇ
- dc official App",https://gall.dcinside.com/mgallery/board/view/?id=hanmath&no=10680404
3,3,디시인사이드,러셀,자퇴생,러셀에 자퇴생도 잇나,https://gall.dcinside.com/mgallery/board/view/?id=russelmg&no=46776
3,3,디시인사이드,러셀,흡연,대전러셀 흡연 식사시간에 되나요?? 상담했을때 여쭤보니 된다곤 하셨는데 혹시나싶어서..쉬는시간엔 안되겠죠 ㅜㅜ,https://gall.dcinside.com/mgallery/board/view/?id=russelmg&no=46771
3,3,디시인사이드,대성,작년 정석민샘 들은사람 있음?,"비독원A 책만 받고 시간표 겹쳐서 수업 취소했는데
인강으로 들어려고 하거든
패스사서 정석민 풀커리 탈까
아니면 저 강의만 돈 주고 살까
비독원 수업은 잘맞는것 같아서..
혹시 그 다음시즌은 어떤지 좀 알려줄 수 이씀?
패스에서 정석민 아니면 대성에서 들을사람 없어서 고민중임
- dc official App",https://gall.dcinside.com/mgallery/board/view/?id=dshw&no=250936
3,3,디시인사이드,대성,대성갤 본평 조사 드간다,솔직하게 답하샘 ㄱㄹㄱ,https://gall.dcinside.com/mgallery/board/view/?id=dshw&no=250924
3,3,디시인사이드,대성,언매 1타는,대성 윤권철임 진짜 믿고 들어라 단과도 안하셔서 바이럴은 아닌데 재종ㅇ와야 들을수이써 ㅋ,https://gall.dcinside.com/mgallery/board/view/?id=csatlecture&no=294415
3,3,디시인사이드,대성,대성마이맥 듣는 사람 있음?,"08 고3 쌩 노베임 내신도 6,7 이렇고 모고도 6,7뜸
지금부터 해봤자 크게는 못달라지더라도 공부 좀 해서 지방대 정도는 가고싶음
일단 대성마이맥? 패스 끊음
김승리,이미지,이명학쌤? 꺼 들을거 같은데 풀커리가 뭔말인지도 모르겠고 교제는 또 뭐사야할지 모르겟음 대성 쓰시고있는분들 팁 좀 주세요ㅠㅠ",https://gall.dcinside.com/mgallery/board/view/?id=csatlecture&no=294411
3,3,디시인사이드,대성,진짜 한국 언론 존나 괘씸한점,"오히려 메가대성 1타강사들이 지역간 재력간 격차를 줄여주는 역할을 하는건데 그걸 갖다 패고 있음
기자면 나름 공부한 사람들인데 그걸 모를리가 없음
그냥 어그로가 ㅈ나 끌리니까 자극적으로 기사 써서 올리는거임
기자 <<< 이새끼들이 빡붕이랑 다를게 뭐냐?
- dc official App",https://gall.dcinside.com/mgallery/board/view/?id=hanmath&no=10682010
3,3,디시인사이드,대성,진영아 너무 귀여운거 아니냐,"https://youtu.be/kNVD--hrZKU?si=ii1Ax0XV2AprvznU
천문학자들은 완전히 멘탈이 나가버렸습니다
#두각학원 #김진영 #수능 #지구과학 #강남대성 #지구과학1 #킬러문제 #노벨상 #우주론 #자기홀극 #천문학
youtu.be
꼬집어주고싶네 ㄹㅇ
참고로 난 김재훈 최지욱 수강생임
- dc official App",https://gall.dcinside.com/mgallery/board/view/?id=csatlecture&no=294381
