월,일,커뮤니티,타사명/키워드,제목,본문(내용),URL
2,24,디시인사이드,러셀,작년에 러셀 최상위기숙 가본애있냐?,빌보드 투가산 있냐?,https://gall.dcinside.com/mgallery/board/view/?id=sdijn&no=2581375
2,24,디시인사이드,러셀,러셀 영어 goat누구노??,"고수현vs킹콩
- dc official App",https://gall.dcinside.com/mgallery/board/view/?id=csatlecture&no=291815
2,24,디시인사이드,러셀,러셀 기숙 폰 아예 못함?,잇올 다니다가 기숙 들어가려고 하는데 러셀 폰 걷는 건 아는데 계속 안주나? 아니면 일주일에 한 번 아니면 폰 할 수 있는 시간 그런게 있나,https://gall.dcinside.com/mgallery/board/view/?id=itall&no=587099
2,24,디시인사이드,러셀,러셀갈건데 추가로 현우진 들을까,수1수2는 단과강좌 하나로 안 될거같은느낌,https://gall.dcinside.com/mgallery/board/view/?id=hanmath&no=10646528
2,24,디시인사이드,러셀,광주 현강,들을만한 사람 있음? 러셀밖에 없는거같던데,https://gall.dcinside.com/mgallery/board/view/?id=csatlecture&no=291643
2,24,디시인사이드,러셀,러셀이나 시대인재 다니는 애들 질문 좀,자습시간에 단과강의에서 내준거나 단과강의 강사 것만 풂? 아니면 자습시간에 타 강사 강의 듣거나 타강사 커리 탐?,https://gall.dcinside.com/mgallery/board/view/?id=hanmath&no=10646347
2,24,디시인사이드,러셀,현역 미적,국어 실모 러셀모고 기준 평백 99면 미적가도 상관없지? 언매임,https://gall.dcinside.com/mgallery/board/view/?id=csatlecture&no=291599
2,24,디시인사이드,러셀,아다떼는 방법 공유 ㄱ,3월에 러셀 가서 폰도 뺏김ㅇ,https://gall.dcinside.com/mgallery/board/view/?id=hanmath&no=10646037
2,24,디시인사이드,러셀,대치러셀,처음 가보는데 이제 3월에 단과 들어서ㅠㅠ 204호 강의실 자리 어디가좋아?,https://gall.dcinside.com/mgallery/board/view/?id=russelmg&no=46602
2,24,디시인사이드,러셀,재수생 6모 신청 학원,"강남 러셀이나 대치 러셀 비재원생 6모 신청 개빡센가?? 티켓팅 급임??
- dc official App",https://gall.dcinside.com/mgallery/board/view/?id=csatlecture&no=291459
2,24,디시인사이드,러셀,러셀가면 쌤들이 강단에서 춤을 춘다고?,,https://gall.dcinside.com/mgallery/board/view/?id=sdijn&no=2579178
2,24,디시인사이드,러셀,러셀 근황…,러셀을 갔어야하면 개추 ㅋㅋㅋㅋ,https://gall.dcinside.com/mgallery/board/view/?id=sdijn&no=2579169
2,24,디시인사이드,러셀,부천 러셀 반구성 어케함,재수고 연고대반2 인데 4층이라는데 나머지는 어케되는거임,https://gall.dcinside.com/mgallery/board/view/?id=russelmg&no=46599
2,24,디시인사이드,대성,아니 씨발 나 대성마이맥 인강들어야하는데,"오늘 하루종일 아이패드 업데이트하고 앱 지웟다깔고 개지랄하다가 2시간 날림
그지랄하고 점심먹다가 대성 안된다고 생담이 공지함
개좆같네 레알
나 대성밖에 없는데 이거 어케 못하냐
내 데이터라도 쓰고싶은데...",https://gall.dcinside.com/mgallery/board/view/?id=sdijn&no=2581500
