연,월,일,커뮤니티(오르비),타사명/키워드(크롤링 단어),제목,본문(내용),URL
2026,3,9,오르비,러셀,개쩌는거 알아냄,"러셀 모의수능 입실 두 시
국어 정답 공개 10시 56분 으흐흐
나도 국어 만점?",https://orbi.kr/00077845212/%EA%B0%9C%EC%A9%8C%EB%8A%94%EA%B1%B0-%EC%95%8C%EC%95%84%EB%83%84
2026,3,9,오르비,대성,윤해정 커리 끝,"윤해정 커리큘럼 일주일 뒤면 끝나는데
대성 패스 구매해서 김승리꺼 듣기 시작하려고 하는데 커리큘럼 어디서부터 들으면 좋을까요?
추천 받습니다.",https://orbi.kr/00077839674/%EC%9C%A4%ED%95%B4%EC%A0%95-%EC%BB%A4%EB%A6%AC-%EB%81%9D
2026,3,9,오르비,대성,재수 시작하는 노베 수학 인강 질문,"현역때 공부 안하고 놀다가
재수 올해 3월부터 공부 시작했습니다
현역때는 그냥 거의 놀았어요 일주일 순공 10시간 정도였고
재수는 진짜 열심히 하기로 지금 마음먹고 실제로 하는중입니다
현역 성적은 2 5 3 5 6 화작 확통 생윤 사문입니다
제가 수학이 거의 노베인지라 지금 고1수학 다 끝냈고
수1수2 개념 인강 들으려는데 질문이 있어요
작년에 시발점 대수 미적분1 (현 수1수2랑 같음)
사서 둘다 10강 정도 듣다가 말았는데
지금보니까 강의 수가 너무 많은거에요 (합쳐서 150강 이상)
근데 제가 대성도 있어서 이미지쌤 보니까 세젤쉬 개념인강 수1수2 합쳐서 55강이길래 좀 끌리네요
이미지쌤 세젤쉬로 개념해도 괜찮을까요?
둘다 개념인강인데 강의 수 차이가 많이나서 고민이네요
뭐가 나을까요?
최대 1개 선택 / ~2026-03-16 01:01:55
시발점 + 유형문제집 병행
세젤쉬 + 유형문제집 병행
투표하기",https://orbi.kr/00077839676/%EC%9E%AC%EC%88%98-%EC%8B%9C%EC%9E%91%ED%95%98%EB%8A%94-%EB%85%B8%EB%B2%A0-%EC%88%98%ED%95%99-%EC%9D%B8%EA%B0%95-%EC%A7%88%EB%AC%B8
2026,3,9,오르비,대성,수학 극극노베 도움이 필요합니다,"올해 고3 된 학생인데 미대 준비하다 포기하고 수학책 올해 처음 펴봅니다…
중1 이후론 수학을 해본적 없어 50일 수학 하고있고
50일 수학이 좋다길래 하고는 있는데 본책은 어렵긴해도 막힘 없이 나가고는 있는데 워크북에서 많이 막히고
극노베에겐 추천하지 않는다는 평이 있는거 같아서
개념+유형, 개념원리 RPM같은 책으로
아예 중학교부터 빡세게 잡고 가야할까요?
아니면 한시라도 빨리 수학 상하,수1,2 개념 많이 돌리는게 좋을까요..
해본적 없어 갈피를 잡기 어렵습니다 ㅠㅠ
*
재수 생각 있고 대성패스 보유중이라
미지쌤 중등도형, 신발끈 있습니다",https://orbi.kr/00077840346/%EC%88%98%ED%95%99-%EA%B7%B9%EA%B7%B9%EB%85%B8%EB%B2%A0-%EB%8F%84%EC%9B%80%EC%9D%B4-%ED%95%84%EC%9A%94%ED%95%A9%EB%8B%88%EB%8B%A4
2026,3,9,오르비,대성,대성양도 20 생각합니다,20에 양도하실 분 쪽지 부탁드립니다,https://orbi.kr/00077840850/%EB%8C%80%EC%84%B1-%EC%96%91%EB%8F%84-20-%EC%83%9D%EA%B0%81%ED%95%A9%EB%8B%88%EB%8B%A4
2026,3,9,오르비,대성,"[대성마이맥]★3월 학평 대비★마이맥과 함께하는 합격을 위한 첫번째 확신, 채점 사전예약하고 푸짐한 경품 받자!","3
월 학평
PERFECT START!
완벽한 시작을 위한 확실한 가이드로
합격을 위한 가장 완벽한 첫걸음을 내딛어봐요!
대성마이맥이 준비한 가이드 첫번째!
3
월 학평 대비
영역별 기획전
수험생에게 필요한 영역별 핵심 전략
3월 학평은 방향을 잡는 시험이니까!
부족한 부분을 찾았다면 충분히 성공한 시험이에요.
두번째,
새학기 필수템 GET!
3
월 학평
채점 사전예약
사전예약 & 3평 당일채점하면
아이패드, 소니 헤드폰 등 다양한 경품이?!
마이맥은 채점 뿐만 아니라,
실시간 등급컷
목표대학 합격 가능성 예측 및 성적관리
체계적 해설강의
까지
ALL-CHECK
가능!
3월 학평이 대입까지 간다고..?
세번째,
마이맥 1타 강사진+입시 전문강사와 함께하는
3
월 학평 집중분석!
영역별 라이브
과목별 총평부터 이후 공부 방향 제시,
등급을 바꾸는 골든타임 로드맵까지
대성마이맥 1타 선생님들의 영역별 분석이
라이브
로 진행돼요!
(
방송 시청 후 이벤트 참여 시 선물도 준대요)
여기서 끝이 아니다?!
3월 학평 당일, 마이맥이 피자 쏜다!
피자 광클 타임
3/24 3평 당일, 19:30!
너무나도 다양한 이벤트와 함께하는
대성마이맥 3월 학평 이벤트!
지금 당장 참여하러 가기>>
PC
바로가기
MO
바로가기",https://orbi.kr/00077841470/%5B%EB%8C%80%EC%84%B1%EB%A7%88%EC%9D%B4%EB%A7%A5%5D%E2%98%853%EC%9B%94-%ED%95%99%ED%8F%89-%EB%8C%80%EB%B9%84%E2%98%85%EB%A7%88%EC%9D%B4%EB%A7%A5%EA%B3%BC-%ED%95%A8%EA%BB%98%ED%95%98%EB%8A%94-%ED%95%A9%EA%B2%A9%EC%9D%84-%EC%9C%84%ED%95%9C-%EC%B2%AB%EB%B2%88%EC%A7%B8-%ED%99%95%EC%8B%A0%2C-%EC%B1%84%EC%A0%90-%EC%82%AC%EC%A0%84%EC%98%88%EC%95%BD%ED%95%98%EA%B3%A0-%ED%91%B8%EC%A7%90%ED%95%9C-%EA%B2%BD%ED%92%88-%EB%B0%9B%EC%9E%90%21
2026,3,9,오르비,대성,대성,"스블 vs 미친개념
(현재 세젤쉬 듣는데 같이 병행할 시중 문제집 추천해주세요 안풀어도 되면 추천 안해주셔도 되고요)",https://orbi.kr/00077842640/%EB%8C%80%EC%84%B1
2026,3,9,오르비,이투스,인강 추천! (이투스월구독 리워드),"이번에 반수를 하게 돼서 인강 패스 사는게 엄청 망설여졌는데..
이투스 덕분에 살았음ㅜㅜ
90분 수강하면 월 10만원 환급해주니까 돈 걱정 안하고 공부할 수 있는 게 진짜 좋더라..ㅋㅋㅋ
정승제쌤, 이지영쌤 강의 들어보고 싶은 사람들 꼭 한 번 수강해봐!
(이 글은 본인이 직접 구독하여 수강한 강좌의 후기로 이투스 엠버서더에 참여하는 글입니다.)",https://orbi.kr/00077840727/%EC%9D%B8%EA%B0%95-%EC%B6%94%EC%B2%9C%21-%28%EC%9D%B4%ED%88%AC%EC%8A%A4-%EC%9B%94%EA%B5%AC%EB%8F%85-%EB%A6%AC%EC%9B%8C%EB%93%9C%29
2026,3,9,오르비,메가,메가스터디 이벤트,깊티 많이 줌,https://orbi.kr/00077839658/%EB%A9%94%EA%B0%80%EC%8A%A4%ED%84%B0%EB%94%94-%EC%9D%B4%EB%B2%A4%ED%8A%B8
2026,3,9,오르비,메가,메가수특내신용강좌있나요?,내신스럽게 수업하는 강사추천좀,https://orbi.kr/00077840612/%EB%A9%94%EA%B0%80-%EC%88%98%ED%8A%B9%EB%82%B4%EC%8B%A0%EC%9A%A9%EA%B0%95%EC%A2%8C%EC%9E%88%EB%82%98%EC%9A%94%3F
