연,월,일,커뮤니티(오르비),타사명/키워드(크롤링 단어),제목,본문(내용),URL
2026,2,24,오르비,대성,대성비문학 강사 추천,"법이랑 칸트에서 다 털렸는데
정석민이나 김승리 생각하고 있습니다
어떤가요",https://orbi.kr/00077700482/%EB%8C%80%EC%84%B1-%EB%B9%84%EB%AC%B8%ED%95%99-%EA%B0%95%EC%82%AC-%EC%B6%94%EC%B2%9C
2026,2,24,오르비,대성,기하 컨텐츠 추천,"현우진 시발점 : 돌고돌아 현우진임. 노베입장에서 공간도형문제가 좀 어려운 편임
배성민 빌드업 워크북 : 교육청, 대성 문제 선별, 빌드업강의도 좋았음(공간도형)
뉴런+시냅스 : 최고의 강의. 뉴런은 2회독 가치가 있다고 봄
강대x(제일 추천): 해설강의가 정말 좋았음. 25수능땐 김범준t가 해설해줬는데 만약 기하선택자면 해설강의 어찌저찌 구해서 풀어서 강의듣는 거 추천
설맞이: n제중 최고.
강대서킷, 시대브릿지 : 하루에 하나씩 풀기 좋았음.
드릴기하는 풀다가 던졌음.",https://orbi.kr/00077701843/%EA%B8%B0%ED%95%98-%EC%BB%A8%ED%85%90%EC%B8%A0-%EC%B6%94%EC%B2%9C
2026,2,24,오르비,대성,[속보] '공천헌금 수수 의혹' 강선우 체포동의안 가결…찬성 164표 반대 87표,"▲ 무소속 강선우 의원이 24일 국회에서 열린 2월 임시국회 제8차 본회의에서 체포동의안이 상정되자 신상발언을 한 뒤 고개 숙여 인사하고 있다.
공천헌금 의혹으로 구속영장이 청구된 무소속 강선우 의원에 대한 체포동의안이 오늘(24일) 국회 본회의에서 가결됐습니다.
국회는 오늘 본회의에서 찬성 164표, 반대 87표, 기권 3표로 강 의원에 대한 체포동의안을 통과시켰습니다.
불체포 특권이 있는 강 의원에 대해 영장실질심사가 진행되려면 국회 본회의에서 재적 의원 과반 출석, 출석 의원 과반 찬성으로 체포동의안이 가결돼야 합니...
전체 기사 보기
해당 뉴스 기사는
파티피플 공명(834542)
님의 요청으로 수집 되었습니다.",https://orbi.kr/00077707926/%5B%EC%86%8D%EB%B3%B4%5D-%27%EA%B3%B5%EC%B2%9C%ED%97%8C%EA%B8%88-%EC%88%98%EC%88%98-%EC%9D%98%ED%98%B9%27-%EA%B0%95%EC%84%A0%EC%9A%B0-%EC%B2%B4%ED%8F%AC%EB%8F%99%EC%9D%98%EC%95%88-%EA%B0%80%EA%B2%B0%E2%80%A6%EC%B0%AC%EC%84%B1-164%ED%91%9C-%EB%B0%98%EB%8C%80-87%ED%91%9C
2026,2,24,오르비,대성,대성환급 이거 맞나요?ㅜ,"중경외시는 받지만 치한약수는 못받는..?
고객센터 전화해봐도 이게 맞다 그런던데
치대 한의대 약대 수의대",https://orbi.kr/00077707972/%EB%8C%80%EC%84%B1-%ED%99%98%EA%B8%89-%EC%9D%B4%EA%B1%B0-%EB%A7%9E%EB%82%98%EC%9A%94%3F%E3%85%9C
2026,2,24,오르비,대성,아오대성환급 뭐이리 내라는게많아,아오 대성시치 ㅋㅋㅋ,https://orbi.kr/00077708066/%EC%95%84%EC%98%A4-%EB%8C%80%EC%84%B1-%ED%99%98%EA%B8%89-%EB%AD%90%EC%9D%B4%EB%A6%AC-%EB%82%B4%EB%9D%BC%EB%8A%94%EA%B2%8C%EB%A7%8E%EC%95%84
2026,2,24,오르비,대성,패스 가격 눈물나네,메가대성 둘 다 사면 120만원 책값까지 하면...,https://orbi.kr/00077710211/%ED%8C%A8%EC%8A%A4-%EA%B0%80%EA%B2%A9-%EB%88%88%EB%AC%BC%EB%82%98%EB%84%A4
2026,2,24,오르비,대성,그시절대성패스 가격,저때 버즈 쌀먹하면 ㄹㅇ 거의 n만원대로,https://orbi.kr/00077711876/%EA%B7%B8%EC%8B%9C%EC%A0%88-%EB%8C%80%EC%84%B1-%ED%8C%A8%EC%8A%A4-%EA%B0%80%EA%B2%A9
2026,2,24,오르비,메가,오메가블랙,어렵긴한데 더럽게 꼬인 문제 없어서 좋은듯 ㅇㅇ,https://orbi.kr/00077705277/%EC%98%A4%EB%A9%94%EA%B0%80-%EB%B8%94%EB%9E%99
2026,2,24,오르비,메가,메가가 대치에,크게 하나 더 차린다는데 시대는 커녕 강대한테도 발리지않나,https://orbi.kr/00077705417/%EB%A9%94%EA%B0%80%EA%B0%80-%EB%8C%80%EC%B9%98%EC%97%90
2026,2,24,오르비,메가,예비고1메가패스,비환급형 65만원 짜리 이거 단과 강좌 패키지는 못 듣는다고 되어있던데 단과강좌가 뭔가요?,https://orbi.kr/00077705481/%EC%98%88%EB%B9%84%EA%B3%A01-%EB%A9%94%EA%B0%80%ED%8C%A8%EC%8A%A4
2026,2,24,오르비,메가,잇타이 도시요 코노 오모이오,"도시오 아바라노 오쿠오
자라메가 토케테 게로니 나리소",https://orbi.kr/00077706796/%EC%9E%87%ED%83%80%EC%9D%B4-%EB%8F%84%EC%8B%9C%EC%9A%94-%EC%BD%94%EB%85%B8-%EC%98%A4%EB%AA%A8%EC%9D%B4%EC%98%A4
2026,2,24,오르비,메가,수학 노베,"저는 지금 예비고3입니다  다른과목은 모르겠는데 수학은 중학교때부터 거의 포기상태라 정말 쌩노베인데
어떤 강좌를 들어야할까요 메가패스 보유중인데 일단 그거 상관없이 추천 부탁드립니다..",https://orbi.kr/00077707327/%EC%88%98%ED%95%99-%EB%85%B8%EB%B2%A0
2026,2,24,오르비,메가,생1 지1 인강누구듣지,그냥 메가에잇는 모 1타 두명 들을까,https://orbi.kr/00077708764/%EC%83%9D1-%EC%A7%801-%EC%9D%B8%EA%B0%95%EB%88%84%EA%B5%AC%EB%93%A3%EC%A7%80
