월,일,커뮤니티,타사명/키워드,제목,본문(내용),URL
2,22,디시인사이드,러셀,운도엉이 오늘 말했는데,건물 짓는거 러셀이 4층 두각이 4층이라던데 ㄹㅇ이냐,https://gall.dcinside.com/mgallery/board/view/?id=csatlecture&no=290858
2,22,디시인사이드,러셀,대성학원 부산,"러셀도 센텀 대구 서울이랑 같이쓰는데
부산도 걍 여기 쓰게 해주면 안됨?",https://gall.dcinside.com/mgallery/board/view/?id=dshw&no=246958
2,22,디시인사이드,러셀,낮반뜰것 같은데,"작년 러셀 서의치였는데 i나 j반 떠도
러셀보단 나음?",https://gall.dcinside.com/mgallery/board/view/?id=sdijn&no=2573904
2,22,디시인사이드,러셀,목동러셀,"이제 슬슬 고삐리 빠질텐데 엔수생 많냐?
3월말쯤 들어가도 자리 남아있으려나…
아직 별관 오픈 안했지?",https://gall.dcinside.com/mgallery/board/view/?id=russelmg&no=46583
2,22,디시인사이드,러셀,퀀텀유배 ㅈ같아서 걍 환불 했다,"러셀 갈듯 아마
9개월동안 점심저녁 먹을때마다 급식실 본관까지 ㅈㄴ 걸어서
갈생각하니까
같은돈내고 왜 이런취급 받아야하나 싶어서
걍 환불신청했음
여름되면 덥고 습한데 비까지오면 그냥 현타올것 같아서
강의실도 스관에서 바로 내려가는 애들보다 늦게가서
맨뒷자리 확정일텐데",https://gall.dcinside.com/mgallery/board/view/?id=dshw&no=246842
2,22,디시인사이드,러셀,내일 아침에 일어나신 성은쌤ㄷㄷ,"메가스터디본사 부재중 전화 5개:)
러셀대표님 부재중전화 23개:)",https://gall.dcinside.com/mgallery/board/view/?id=hanmath&no=10635024
2,22,디시인사이드,러셀,러셀 기숙에 있는 친구한테 제본 택배보내도,문제안됨?,https://gall.dcinside.com/mgallery/board/view/?id=russelmg&no=46579
2,22,디시인사이드,대성,26 대수능 이새끼 국어 빙의 받냐?,"대성 1타 고대 컴공 김승리
주면 맛있게 받으면 개추",https://gall.dcinside.com/mgallery/board/view/?id=sdijn&no=2575180
2,22,디시인사이드,대성,대성 병신들아 마스코트 다시 해라,"방금 누가 보내줘서 봤는데 캐릭터 ㅈ같이 뽑았었네
내가 씨발 전에 고양이로 마스코트 만들면 시대 딴다고 알려줬었는데 이걸 개병신 같은 엉덩이로 가버리네
- dc official App",https://gall.dcinside.com/mgallery/board/view/?id=dshw&no=247208
2,22,디시인사이드,대성,예전에 뭐 찾느라고 수학 모든 인강 다 찾아본적있었는데,"메가인가 대성인가 어떤 꼴타쌤 강의도 눌러봤는데
ㅈㄴ 웃기더라 ㅋㅋㅋ
커리큘럼 네이밍도 ㅈㄴ 대충이고
강의도 ㅈㄴ 셋팅이 뭔가 ㅈㄴ 대충임 ㅋㅋㅋㅋ
강의 내용이 대충인게 아니라 셋팅이 허접한게 ㅈㄴ 웃김
같은 메가 대성인데 이렇게 차이날수 있구나 싶음",https://gall.dcinside.com/mgallery/board/view/?id=hanmath&no=10638029
