월,일,커뮤니티,타사명/키워드,제목,본문(내용),URL
3,9,디시인사이드,러셀,러셀 다니는 얘들아,오메가 어떰?,https://gall.dcinside.com/mgallery/board/view/?id=csatlecture&no=296495
3,9,디시인사이드,러셀,러셀 단과 결제 했는데 걍 안가도 불이익 없음?,"부모님한테 문자 가나;
의무시수 하나 있어서 영어 아무거나 들었는데 나랑 안 맞아서
걍 안들으려고..
환불은 의무시수땜에 못함",https://gall.dcinside.com/mgallery/board/view/?id=russelmg&no=46944
3,9,디시인사이드,러셀,강남러셀 vs 대치러셀,종합적으로 어디가 더 좋아,https://gall.dcinside.com/mgallery/board/view/?id=russelmg&no=46937
3,9,디시인사이드,러셀,울산 단과 추천좀 부탁드려요 ㅠ,"어제 울산 러셀 상담받고 오늘 등록하려는데 의무 단과 3개를 들어야 한대요
수학은 혼자 기초부터 하고 있는 노베라 수업 못 따라갈 게 뻔해서 이번엔 신청 안 할 거구요
국어 영어 중에 3개를 들으려고 하는데 추천 좀 가능할까요?
국어는 저번 수능 2등급이었고요
영어는 작년 수능 3등급이었습니다
아 그리고 제가 사탐은 생윤 사문 하는데 여러분들은 보통 사탐은 단과 어떻게 하시나요?
지금은 국어 영어에서만 의무 단과 3개 채우고 사탐은 생각을 안 하고 있어요
제발 도와주시면 감사하겠습니다.. ㅠ",https://gall.dcinside.com/mgallery/board/view/?id=russelmg&no=46933
3,9,디시인사이드,러셀,더프 외부생,"러셀에 더프보러가려하는데
외부생이 가면 약간 눈치보이거나 그런거 있음?",https://gall.dcinside.com/mgallery/board/view/?id=hanmath&no=10707271
3,9,디시인사이드,러셀,러셀 의무단과 책값이 애미 없다고 ㅠ ㅠ,"제발 제발 팔려라
- dc official App",https://gall.dcinside.com/mgallery/board/view/?id=hanmath&no=10707116
3,9,디시인사이드,러셀,3덮,러셀은 더프보면 성적표 부모님한테도 메세지 보내나요?,https://gall.dcinside.com/mgallery/board/view/?id=russelmg&no=46929
3,9,디시인사이드,러셀,러셀 재종반 토요일 저녁 뺄건데 뭐라해야하지,컨디션 난조라고하면 빼주냐 부모님도 오케이하셨는데 머라핑계대야 효과있음?,https://gall.dcinside.com/mgallery/board/view/?id=hanmath&no=10705957
3,9,디시인사이드,대성,S반분들도,"메가 대성 인강 많이들 듣던데
이게 낮아진 시평인가 싶네요",https://gall.dcinside.com/mgallery/board/view/?id=sdijn&no=2610904
3,9,디시인사이드,대성,주간지 추천좀,"정석민 커리타면서 주간지 풀려는데 이감은 즌3부터 할거 같아서 그전에 할 주간지 추천
참고로 대성패스만 끊음",https://gall.dcinside.com/mgallery/board/view/?id=csatlecture&no=296476
3,9,디시인사이드,대성,강남 잇올 그럭저럭 다니고있다,"화장실에 비데 없는게 아쉽긴했는데
그냥 강남대성 점심 저녁 시간에 들어가서 쓰고 나오고있음 ㅇㅇ",https://gall.dcinside.com/mgallery/board/view/?id=itall&no=589464
3,9,디시인사이드,대성,신민우가 극한상쇄를 깔수 있는 이유,"https://m.dcinside.com/board/dshw/164121
[수학문학] 신민우의 유래
- 대성학원 마이너 갤러리
열심히 만들어봤습니다즐거운 주말 보내시길
m.dcinside.com
결투에서 이겼기 때문
- dc official App",https://gall.dcinside.com/mgallery/board/view/?id=dshw&no=253291
3,9,디시인사이드,대성,이동준 vod,3등급인데 이제부터 또는 3모 이후부터 이동준 vod사서 들으면 ㅂㅅ인가.. 아니면 걍 대성 메가 이런거 듣습니까요?,https://gall.dcinside.com/mgallery/board/view/?id=csatlecture&no=296363
3,9,디시인사이드,대성,대성은 짜증나겟네,"차은.우 가장 비쌀때 메인모델로 썻다가
나락감
그거때문에 손해봐서
프패가격 존나 올린건가ㅋㅋ",https://gall.dcinside.com/mgallery/board/view/?id=hanmath&no=10708648
3,9,디시인사이드,대성,대성마이맥 전체 타수 1위 누구임?,"이미지냐 김승리냐
아니면 이명학?",https://gall.dcinside.com/mgallery/board/view/?id=hanmath&no=10708255
3,9,디시인사이드,대성,국어 커리 좀 도와주셈뇨,"독서는 자습서로 공부할 거고 문학만 대성에서 들을 건데
각각 어떤게 가장 베스트인가요?",https://gall.dcinside.com/mgallery/board/view/?id=hanmath&no=10708169
3,9,디시인사이드,대성,대성패스 공유 보통 얼마함?,뭔 선제시 하래,https://gall.dcinside.com/mgallery/board/view/?id=hanmath&no=10708157
3,9,디시인사이드,대성,아 국어 누구해야할지 개고민되는데,대성만 갖고 있는데 그읽그풀 좋아하는데 누구 들어야함?,https://gall.dcinside.com/mgallery/board/view/?id=hanmath&no=10707728
3,9,디시인사이드,대성,도움좀뇨 ㅠ,"국어 독서는 인강 안 듣고 자습서 가지고 하고 싶은데 어떤 거 있나요?
또 대성에서 문학 괜찮은 분 누구 있을까요?",https://gall.dcinside.com/mgallery/board/view/?id=hanmath&no=10707590
3,9,디시인사이드,대성,대성 국어 ㅊㅊ점뇨,"독서 정석민
문학 유대종 알려주던데
특징 알려줘여",https://gall.dcinside.com/mgallery/board/view/?id=hanmath&no=10707544
3,9,디시인사이드,대성,대성에서 국어 고트 누구임?,"독서 문학
각각 한명씩 알려주셈뇨",https://gall.dcinside.com/mgallery/board/view/?id=hanmath&no=10707502
3,9,디시인사이드,대성,이정수강사님 경제지문해설 어떻게하세요?,"대인라라고 대성에서 인강열릴때있다던데
그때 기출들 다 강의 해주시나요?
경제가 약한데 이정수강사님이 다 독서가 좋다기에 들어보고싶어서요
경제지문은 어떻게가르치시나요?
지방에 사는 학생이라서 브레턴우주.오버슈팅.그외에도
경제지문들 현강안다니는사람도 대인라결제하면
들을수 있나요?ㅠㅠ",https://gall.dcinside.com/mgallery/board/view/?id=dshw&no=253265
3,9,디시인사이드,대성,내가 누누히 말하지만 메가 대성패스는 필수,네,https://gall.dcinside.com/mgallery/board/view/?id=hanmath&no=10705476
3,9,디시인사이드,대성,대성 생윤 임정환밖에 없냐,임정환 집중ㅈㄴ안되던데,https://gall.dcinside.com/mgallery/board/view/?id=hanmath&no=10705474
3,9,디시인사이드,대성,재수 시작하는 07 수학 질문 도와주십사,"현역때 공부 안하고 놀다가
재수 올해3월 되자마자 공부 시작했습니다
현역때 그냥 거의 놀았어요 일주일 순공 10시간 정도였고
재수는 진짜 열심히 하기로 지금 마음먹고 실제로 하는중입니다
현역 성적은 2 5 3 5 6 화작 확통 생윤 사문입니다
제가 수학이 거의 노베인지라 지금 고1수학 다 끝냈고
수1수2 개념 인강 들으려는데 질문이 있어요
작년에 시발점 대수 미적분1 (현 수1수2랑 같음)
사서 둘다 10강 정도 듣다가 말았는데
지금보니까 강의 수가 너무 많은거에요 (수2는 85강)
근데 제가 대성도 있어서 이미지쌤 보니까 세젤쉬 개념인강
수2가 26강인거에요 (수1수2 합쳐서 55강)
이미지쌤 세젤쉬로 개념해도 괜찮을까요?
시발점은 너무 많고 세젤쉬는 너무 적어서 고민이네요",https://gall.dcinside.com/board/view/?id=exam_new2&no=1834489
3,9,디시인사이드,대성,재수 시작하는 07 수학 질문 help,"현역때 공부 안하고 놀다가
재수 올해3월 되자마자 공부 시작했습니다
현역때 그냥 거의 놀았어요 일주일 순공 10시간 정도였고
재수는 진짜 열심히 하기로 지금 마음먹고 실제로 하는중입니다
현역 성적은 2 5 3 5 6 화작 확통 생윤 사문입니다
제가 수학이 거의 노베인지라 지금 고1수학 다 끝냈고
수1수2 개념 인강 들으려는데 질문이 있어요
작년에 시발점 대수 미적분1 (현 수1수2랑 같음)
사서 둘다 10강 정도 듣다가 말았는데
지금보니까 강의 수가 너무 많은거에요 (수2는 85강)
근데 제가 대성도 있어서 이미지쌤 보니까 세젤쉬 개념인강
수2가 26강인거에요 (수1수2 합쳐서 55강)
이미지쌤 세젤쉬로 개념해도 괜찮을까요?
시발점은 너무 많고 세젤쉬는 너무 적어서 고민이네요",https://gall.dcinside.com/mgallery/board/view/?id=itall&no=589351
3,9,디시인사이드,대성,재수 시작하는 07 수학 질문 도와주세요...,"현역때 공부 안하고 놀다가
재수 올해3월 되자마자 공부 시작했습니다
현역때 그냥 거의 놀았어요 일주일 순공 10시간 정도였고
재수는 진짜 열심히 하기로 지금 마음먹고 실제로 하는중입니다
현역 성적은 2 5 3 5 6 화작 확통 생윤 사문입니다
제가 수학이 거의 노베인지라 지금 고1수학 다 끝냈고
수1수2 개념 인강 들으려는데 질문이 있어요
작년에 시발점 대수 미적분1 (현 수1수2랑 같음)
사서 둘다 10강 정도 듣다가 말았는데
지금보니까 강의 수가 너무 많은거에요 (수2는 85강)
근데 제가 대성도 있어서 이미지쌤 보니까 세젤쉬 개념인강
수2가 26강인거에요 (수1수2 합쳐서 55강)
이미지쌤 세젤쉬로 개념해도 괜찮을까요?
시발점은 너무 많고 세젤쉬는 너무 적어서 고민이네요",https://gall.dcinside.com/mgallery/board/view/?id=hanmath&no=10705363
3,9,디시인사이드,이투스,ㅅㅂ 이투스갤은 다 이투스 욕밖에 없노,잇올가라고만 하네,https://gall.dcinside.com/mgallery/board/view/?id=itall&no=589483
3,9,디시인사이드,이투스,이투스 잇올 ㅇㄷ가 나음,ㅈㄱㄴ,https://gall.dcinside.com/mgallery/board/view/?id=hanmath&no=10710067
3,9,디시인사이드,이투스,송파나 잠실 이투스 vs 잇올,어디가 나음?? 이투스는 장학될 것 같긴한데,https://gall.dcinside.com/mgallery/board/view/?id=hanmath&no=10709731
3,9,디시인사이드,이투스,아 이투스,또 30분 날렸네 하.,https://gall.dcinside.com/mgallery/board/view/?id=hanmath&no=10709716
3,9,디시인사이드,이투스,송파나 잠실 이투스 vs 잇올,어디로가야함? 자리 나면 바로 드가려는데 장단점 좀 말해줄 수 있어? 연대라 이투스는 장학있을 것 같은데,https://gall.dcinside.com/mgallery/board/view/?id=itall&no=589433
3,9,디시인사이드,이투스,이투스패스밖에 없는데 수학인강 정승제는별로냐,"작수 공통4선택1틀 80인 아예 노베도 아니고 베이스 있다고 하기에도 애매한실력임
뉴런듣고싶긴한데 현재 메패가없어서 수학인강 들을거면 이투스 강사 들어야 함.
그냥 수학 독학할까, 아니면 정승제라도 듣는게 나음?",https://gall.dcinside.com/mgallery/board/view/?id=sdijn&no=2610399
3,9,디시인사이드,이투스,김동하 좋음?,"이투스로 들어볼라고 하는데
- dc official App",https://gall.dcinside.com/mgallery/board/view/?id=sdijn&no=2610359
3,9,디시인사이드,이투스,이투스 247이랑 잇올 고민중인데 어디가 나음??,송파로 갈거임,https://gall.dcinside.com/mgallery/board/view/?id=itall&no=589378
3,9,디시인사이드,이투스,이투스 송파어떰,이번에 들가는데,https://gall.dcinside.com/mgallery/board/view/?id=etoospt&no=269
3,9,디시인사이드,메가,메가는 ㄹㅇ 참강사들 모임이긴 한듯,"물리 강사는 여캠에게 몇십억을 후원을 하지 않으며, 룸빵에 다니지 않는다. 화학 강사는 과거에 체벌을 한 적이 없다. 생명과학 강사는 전과가 없으며 문제풀이 능력이 뛰어나 직관 드립은 절대 치지 않는다. 지구과학 강사는 과거에 체벌을 한 적이 없으며 어깨가 매우 좁다.",https://gall.dcinside.com/mgallery/board/view/?id=sdijn&no=2610645
3,9,디시인사이드,메가,메가 강사들은 ㄹㅇ 참강사들 모임인듯,"물리 강사는 여캠에게 몇십억을 후원을 하지 않으며, 룸빵에 다니지 않는다. 화학 강사는 과거에 체벌을 한 적이 없다. 생명과학 강사는 전과가 없으며 문제풀이 능력이 뛰어나 직관 드립은 절대 치지 않는다. 지구과학 강사는 과거에 체벌을 한 적이 없으며 어깨가 매우 좁다.",https://gall.dcinside.com/mgallery/board/view/?id=hanmath&no=10709625
3,9,디시인사이드,메가,난 배기범 진짜 무조건 지지하는 이유가,"그는 서울대학교 사범대학 물리교육학과를 졸업하고 메가스터디에서 물리를 가르치는 명백한 1류이기 때문.
서울대 출신 인강강사는 무조건 수호",https://gall.dcinside.com/mgallery/board/view/?id=hanmath&no=10709562
3,9,디시인사이드,메가,추억의고닉) 메가스터디김성은,,https://gall.dcinside.com/mgallery/board/view/?id=hanmath&no=10709535
3,9,디시인사이드,메가,수학 4등급이면 뭐해야됨,"지금 개념강의 들으면서 병행할 문제집 추천좀.
4점기출 너무 어려워서 어려운3점~쉬운4점 난이도의 깔끔한 문제집 풀고싶음.
쎈은 내신용이라 좀 그런데 쎈 드가야되나
수능 전용 쎈이라길래 메가 ㅇㅅㅈ 유형문제집 샀는데 엄임
- dc official App",https://gall.dcinside.com/mgallery/board/view/?id=csatlecture&no=296393
