연,월,일,커뮤니티(오르비),타사명/키워드(크롤링 단어),제목,본문(내용),URL
2026,3,6,오르비,러셀,다정수학과 이동준,"러셀 신성규T는 물론이고 같은 시대인재 소속인 정재일T까지 수업에서 가르치는 거리곱인데,
특히 다정수학에만 이동준T가 민감한 이유에 대해 써 보려고 합니다.
1.
제3자가 봤을 때,
거리곱이 다른 스킬들에 비해서 이미지가 안 좋아지게 만든 장본인이 다정수학
이라 생각한다.
'수학 스킬 티어 매기기' 라는 쇼츠로 바이럴되어 거리곱 쓸데없다는 여론만 가중시키고
정병훈T에게 수업 도중 직접적으로 저격을 먹기까지 했다.
거리곱 '개념'을 이동준이 창시했다는 주장은 얼토당토없다.
다만 거리곱이라는 '명칭'을 이동준이 붙여서 사교육 시장에 체계화시켰다는 것은 사실
이다.
최초로 발견한 개념은 아닐지 모르나,
이동준 본인이 스스로 명칭을 붙여 대치동에서 최초로 상용화시킨 개념이
'수학스킬 티어 매기기' 따위의 영상 때문에 아무것도 아닌 잡스킬 취급을 받으며
본인이 만든 명칭으로 만인에게 조롱당하는 것은 충분히 기분 나쁠 포인트로 보인다.
참고로, 위에 언급한 러셀 신성규T는 거리곱을 다항함수 마무리 계산의 툴 정도로 사용하며, 정재일T는 값의 이미지, 기울기의 이미지 등으로 이름을 바꿔서 사용한다.
2.
다정은 이동준 강사가 유튜브에 댓글 필터를 씌웠다는 것을 증명하기 위해 스스로 '다정에서 배운 것과 크게 다를 바 없어 보이는데요?' 라는 댓글을 쓰는 영상을 올린 적이 있다.
(
https://www.youtube.com/watch?v=dwqNWhXjsu4
, 0:46초)
본인도 언급했듯이, 다정북스 책을 보면 그냥 거리곱만 배낀 것이 아니라,
이동준T 영상의 흐름인 거리곱-기울기 거리곱-인수나누기 라는
흐름 자체를 그대로 가져와서 똑같이 갖다 박았다.
안무가들의 안무나, 작곡가들의 음악에서 표절 논란이 떴을 때, 판별하는 기준이 단순 장면이 아니라 4카운트 이상 정도의 '흐름'임을 생각해 보자. 개인적으로 흐름/관점 자체를 갖다 박은 건 충분히 기분 나쁠 수 있다고 본다.
3.
다정은 책을 쓰면서 아래와 같은 말을 캐치프라이즈로 사용했다.
""대치동의 '어둠의 스킬들'이 특정 집단만의 전유물이 되지 않기를 바라는 마음에서 책을 집필했습니다.""
최소한 다른 강사들은 거리곱을 쓰면서 이정도로 뻔뻔하게 말하지는 않았다.
허나
다정은 대놓고 대치동 강사들을 마치 카르텔인 것 마냥 겨냥하고 바이럴했고, 대표적인 것이 거리곱이었다.
최초로
거리곱 명칭을 붙인 이가 이 말을 듣고 기분나쁜 것은 당연한 일
이라고 생각한다.
4.
다정은 책을 집필하면서
한 번도 자신의 학력에 대해 인증한 적이 없다
.
강사에 자격이 필요한가? 라는 질문은 하지 않기를 바란다.
수험생의 절박한 1년을 책임져야 하는 수능 강사이자
특히 '스킬'들로 바이럴된 강사라면 당연히 실력 인증은 필수라고 본다.
본인이 이 스킬들이 좋다면서
가벼운 어투로 티어까지 매기면서
본인 학력이나 성적에 대한 인증은 물론이고, 언급조차 한 적이 없다.
본인을 믿고 이 책을 구매해달라고 호소하려면,
배낀 적이 없고 실력으로 여기까지 왔다고 주장하려면
본인의 학력이나 성적, 어떤 학원에서 어느 정도 마감시킨 강사였는지
하다 못해 자신의 방법을 적용시킨 과외로 몇 점 올렸는지라도 적는 것이 예의 아닌가?
아니면 최지욱T처럼 실시간으로 최초풀이 찍어내면서 실력으로 인정시키면 된다.
다정북스 김동우씨.
아직도 본인이 왜 비호감인지, 뭐가 문제인지 모르겠나요?
책 팔기 위해서 유튜브로 별별 어그로를 끌어온 사람이
돈벌이 수단이 아니었다고 해명하신 건 좀 짜치네요.
해명하신 것처럼 어줍짢은 돈벌이 수단으로 생각해 배낀 것이 아니고,
진짜로 강사들의 스킬이 누군가의 전유물이 되지 않기를 바라는 마음으로 책을 쓰신거라면 PDF로 오르비에 뿌리시면 되는 거 아닌가 싶네요 ㅋㅋ
다정 유튜브에 달았다가 댓삭당해서 여기라도 써봅니다.
댓글로 본인들 의견 남겨주세요",https://orbi.kr/00077804060/%EB%8B%A4%EC%A0%95%EC%88%98%ED%95%99%EA%B3%BC-%EC%9D%B4%EB%8F%99%EC%A4%80
2026,3,6,오르비,러셀,내가 누구?,대전러셀의유일한장영진수강생,https://orbi.kr/00077805473/%EB%82%B4%EA%B0%80-%EB%88%84%EA%B5%AC%3F
2026,3,6,오르비,러셀,외부생 더프랑 서프 신청할 때,"러셀이나 시대 기존에 다니던 애들이랑 다른 실에서 보나요?
괜히 아는 사람 마주치기 싫어서..ㅠ",https://orbi.kr/00077810388/%EC%99%B8%EB%B6%80%EC%83%9D-%EB%8D%94%ED%94%84%EB%9E%91-%EC%84%9C%ED%94%84-%EC%8B%A0%EC%B2%AD%ED%95%A0-%EB%95%8C
2026,3,6,오르비,대성,영어 강의,26학년도 영어 6모 92점 9모 79점 수능73점 받았습니다 영어 강의는 하루에 한시간만 들을 생각인데 어떤 강의가 좋을까요? 듣기는 안틀리고 글을 좀 뇌 빼고 읽는 것 같긴해요 메가랑 대성 둘다 패스 있어요,https://orbi.kr/00077803148/%EC%98%81%EC%96%B4-%EA%B0%95%EC%9D%98
2026,3,6,오르비,대성,대성플레이어때매 정신병 걸릴 뻔한 썰,아니 다운로드한 영상을 와파 데이터 다 끄고 보면 재생 잘되는데 왜 데이터만 키고 다운로드 영상을 보면 1분 34초 정도 재생되고 시간바는 계속 가고 화면이랑 소리가 멈추는건가요? 진짜 여러가지로 대성 플레이어 맨날 인강 볼때마다 화나는 포인트가 한둘이 아닌데 업데이트는 왜 한건가요? 그리고 다운로드한 인강을 다운로드함에서 데이터로 들을때만 오류나는거 보면 이 와중에도 데이터를 빨아먹고 있는건가요?,https://orbi.kr/00077804214/%EB%8C%80%EC%84%B1-%ED%94%8C%EB%A0%88%EC%9D%B4%EC%96%B4%EB%95%8C%EB%A7%A4-%EC%A0%95%EC%8B%A0%EB%B3%91-%EA%B1%B8%EB%A6%B4-%EB%BB%94%ED%95%9C-%EC%8D%B0
2026,3,6,오르비,대성,대성패스없으면 조정식이 맞나?,고민됨,https://orbi.kr/00077807493/%EB%8C%80%EC%84%B1%ED%8C%A8%EC%8A%A4%EC%97%86%EC%9C%BC%EB%A9%B4-%EC%A1%B0%EC%A0%95%EC%8B%9D%EC%9D%B4-%EB%A7%9E%EB%82%98%3F
2026,3,6,오르비,대성,약대 나오면 약사할까?,"※※ 이 글은 26학번 신입생이 25학번 선배와 이야기하고 교수님이랑 상담 후 쓴 글이고, 2035년도에 졸업할 학생 입장에서 쓴 글입니다.
학교마다 다르다
1. 서울대 약대
대학병원+로컬
7퍼센트
2. 성대
30프로 정도 약사 일을 함
3. 중대, 인설, 주요 경기권
55프로 정도 약사 일을 함
시발 귀찮아 알아서 찾아봐. 왜 자꾸 쪽지 보내
미안하다. 학교 내부 자료라 재학생이어야 확인가능한 정보였네. 근데 대충 저 수치가 맞음. OT에서 들음
좀 알려주자면 전체 약사 평균은 70정도임.
그런데 왜 이런 통계가 산출되는가?
= 동덕,덕성,숙명 애들이 죄다 동네약국, 병원약사 하니까요
근데 여대약대가 200명씩 쳐뽑아대니까
수도권약대 졸업생 50명 중에서 35명이 약사 일 안해도 통계적으로 이 ㄴ들을 이길 수 없음
(이대 약대는 다름)
제약사, 대학원, VC, 타전문직 융합, 연구소, 공직 비율이 45프로 정도 됨.
미적 중앙 서성한 과탐 교대 건대 채연 항공대 약사 약 계
중앙대 하이닉스 한양대 김범준 이원준 현우진 확통 사탐런 신소재 동국대 saint.동국대 가천대 서울대 김범준 스블 이채연 중앙대 고대 이미지 이명학 이투스 메가 대성 미미미누 시대인재 라이브 이투스 현우진 조정식 강민철 강평 김승리 헬스터디 중경외시 중시경건 건동홍 외동홍 국숭세단 숭국세단 국숭세곽 광명상가 국민대 이채연 김범준 중대 서성한 수학 미카리 스블 삼수 고대 확통 시립 현수 헬스터디 점공컷 등록 추합 예비 서울대 연세대 서강대 중대 고려대 숭실 계약 건대 충북 드릴 경희 한양대 뉴런 추합 고반 교대 의대 한의 치대 약대 수의대 강민철 김승리 메가 시대 대성 션티 김범준 현우진 김기현 team 07 team 08 team 06 team 05 학종 교과 설대식 지역인재 지역 재종 tca회로 샤가프 복추 복제추론 이빨복추 코돈 uaa 프로모터 시놉시스 어댑터 트레일러 하바베 하디바인베르크 제효 제한효소 유전자재조합 오페론 계통수 캔버스 기해분 엣지 리바이벌 플로우 마더텅 쎈 라쎈 쎈발점 시발점 자이스토리 기출 n제 실모 담요단 실모단 이대 이화여대 숙대 변표 만표 만백 과외 미미미누 유빈 헬스터디 n수의신 5수 윤도영 올어바웃 지솦 시스템 반도체 자전 ai 사이언스 창의ict 언더우드 미래캠 군수",https://orbi.kr/00077809560/%EC%95%BD%EB%8C%80-%EB%82%98%EC%98%A4%EB%A9%B4-%EC%95%BD%EC%82%AC%ED%95%A0%EA%B9%8C%3F
2026,3,6,오르비,이투스,[이투스월구독]이투스국어 김민경T 두 달 수강 후기,"25학년도 6모 1등급 -> 25수능 백분위 77의 전적을 가진 N수생입니다. 새해 다짐으로 retry를 결심하게 되었는데, 저 같은 경우 현재는 인강 3사 패스를 모두 결제하였지만 부모님을 설득하기 전, 결심한 순간 바로 공부를 시작해야겠다고 다짐했을 때, 이투스 패스가 비교적 저렴함 가격의 월 구독제를 운영중이기에, 바로 공부를 시작할 수 있었던 것 같습니다. 저처럼 빨리 공부를 시작하고 싶은데 당장 다른 패스를 구매하기 힘드시거나, 혹은 몰래 반수 중이라서 여력이 없으신 분들은 매월 구독료 이상의 리워드를 받을 수 있는 이투스패스가 좋은 것 같습니다.
또, 국어 같은 경우에는 김민경 선생님께서도 강의 중에 여러번 언급하시듯이 매일 꾸준히 하는 게 중요하고, 사실 강의 수가 많기 때문에 매일 한강을 들을 수 있는 조건이 갖추어져 있습니다. 문제는 이를 지키는 것인데 이투스패스의 경우, 매일 90분씩 공부하면 즉각적인 보상을 받을 수 있기에 동기부여가 잘 되었던 것 같습니다. 저같은 경우, 1월 2월 모두 구독료 이상의 금액을 환불받아, 음식을 사 먹거나 여가생활 관련해서 소비했습니다.
이투스패스에 대한 개략적인 소개를 마치고 그동안 강의를 수강한 후기를 말씀드려보도록 하겠습니다. 우선, 선생님께서는 공부를 하면서 모의고사가 됐든 뭐든 결과가 수능이 아닌 이상 그것에 동요되지 않는 것을 강조하시긴 합니다. 그래서 저도 두 달 동안 어떻게 성장했는지를 '객관적으로'(수능 결과가 아닌 이상 진정한 객관적 지표가 될 수는 없겠죠.) 평가하기 보다는 제가 강의를 들으면서 느낀 점 위주로 말해보도록 하겠습니다.
첫번째로는 정말 기본적인 글을 읽는 태도부터 교정시켜주신다는 점입니다. 가장 기초 강좌 <독서초본>을 들어보시면 알겠지만 이 강의를 듣기 위해서 필요한 사전적 능력은 거의 없다고 봐도 괜찮을 만큼 누구나 들을 수 있는 강좌였습니다. 뿐만아니라 아무리 본인이 이미 능력이 출중하다고 생각이 들어도 글을 읽는데 독소를 전부 제거하고 바닥부터 흔들리지 않는 실력을 원하신다면 그에 맞는 강의가 될 것이라고 생각합니다. 저 같은 경우 강의의 밀도는 높았지만 강의를 듣는 데 있어서는 큰 어려움이 없었지만 선생님께서 글을 읽으신 방식 그대로 복습하려고 하니, 글을 읽는 태도를 교정하는 것이 정말 쉬운 일이 아니라는 것을 깨달았었던 것 같습니다. 또, 예전에 학습된 안 좋은 글 읽는 방법을 저 스스로 선생님의 방법과 비교하며 실감하게 되니, 내가 은연 중에 가지고 있던 독소가 이렇게나 있었던 걸 알게 되는 계기였던 것 같습니다.
두번째로는 어떤 어려운 지문과 문제를 만나도 그를 뚫어내는 방법과 뒷백을 길러주신다는 점입니다. 기초 이후 기본 강좌인 <독서해법>에서는 주로 문제 유형별 집중훈련을 진행하게 되는데, 단순히 최상의 독해로 문제를 푸는 방법만을 알려주시는 게 아니라, 지문에서 서술된 핵심 정도만 파악한 플랜 B, 지문이 뭘 말하는지 파악만 한 플랜 Z의 경우의 문제풀이 방식까지 알려주셔서, 실제로 지문과 문제가 어렵든, 내가 느낀 체감 난도가 높든 관계없이 문제를 풀 수 있는 힘을 기를 수 있는 강좌였던 것 같습니다.
세번째로는 효율성 높은 강좌라는 것입니다. 선생님의 문학 첫번째 커리 <문학머리>에서는 1단원에서 문학의 기본적인 감상법을 다루고 2단원에서 갈래별 최신 평가원 기출을 풀어주시는데, 보통 문학 강좌라고 하면 몇십강의가 되는 문학개념어 강의를 먼저 수강하고 그에 따른 문학 수업이 진행되는데, 선생님의 문학 강의는 10시간 채 안 되는 수업 동안 문제풀이에 필요한 문학 개념과 동시에 감상법, 기본적인 문제 풀이법을 알려주시고, 이후에 평가원 기출문제를 풀어주시는데, 2단원에서 나도 모르게 제대로 된 문학 지문 접근법과 이에 따라 문제 풀이법을 익히니 정말 만족도가 높았던 강의었던 것 같습니다.
김민경 선생님을 처음 들어보신 분도 있고 아닌 분들도 있으실 겁니다. 저는 D사에서 김민경 선생님의 강의를 수강했었던 전적이 있는데 24수능 대비 강좌와 25수능 대비 강좌를 모두 수강했었습니다. 그러면서 느낀 바로는, 올해 강의가 가장 최고였다는 것입니다. 매년 강좌 구성을 바꾸시고 교재를 바꾸시는데, 작년 강의를 한 두개 정도는 다시 활용하시기도 하지만 대부분의 강의가 업데이트 된다는 점에서 매번 해당 연도에 가장 최적화된 학습을 하게되었던 것 같습니다.
이런 말을 수능 3컷 받은 사람이 해서 신빙성이 없다고 느끼실지 모르겠습니다. 그렇지만 분명 만년 2~3등급이었던 제가 분명 쉽지 않았던 25학년도 6모 독서를 다 맞았었던 데에는 선생님 강의가 큰 도움이 되었던 것 같습니다.
당시 2025수능 대비에서 D사에 운영되던 커리큘럼은
독서 A. 글을 읽는 매우 기본적인 태도 확립.
독서 B. 독서의 지문, 선지, 보기마다 접근하는 방법 배우고 제재별 종합훈련 30세트
독서 C. 문제유형별 집중훈련
독서 D. 평가원+일부 교육청 기출 테마별(그렇지만 각각의 또 차이가 있다는 점을 인지하며) 훈련
독서 E. 릿밋딧 훈련
독서 F. 파이널 최종 정리
문학 A. 대표 지문과 작가를 통한 문학개념 강좌
문학 B. 문학 감상법 강좌
문학 C. 갈래별  평가원+일부 교육청 기출 훈련
문학 D(플러스 알파격). 갈래별 평가원 기출 훈련(개념으로 푸는 풀이+개념 없이 푸는 실전적 풀이)
문학 E. 파이널 최종 정리
였습니다.
6모 전까지 반수하면서 독서 A부터, D의 절반 정도를 수강하였고 문학 A부터 C의 절반 정도를 수강하였습니다. 이후 선생님 강의를 따라갔으나, 기본적인 공부가 부진하였고, 다른 선생님의 커리큘럼을 따라가느라 파이널 강좌를 제대로 수강하지 못 했고, 파이널 기간 동안 잘못된 공부를 하였기에 성적이 곤두박질쳤다고 스스로 진단하고 있습니다.
김민경 선생님 강의를 수강하기로 선택하셨다면, 파이널까지 커리를 이어가고, 공부법도 QA를 활용해서 틈틈이 상담하시는 걸 추천드리는 바입니다.
#이투스 #이투스리워드 #이투스월구독 #고3 #고2 #고1 #인강추천
“이 글은 본인이 직접 구독하여 수강한 강좌의 후기로 이투스 엠버서더에 참여하는 글입니다”",https://orbi.kr/00077805763/%5B%EC%9D%B4%ED%88%AC%EC%8A%A4%EC%9B%94%EA%B5%AC%EB%8F%85%5D-%EC%9D%B4%ED%88%AC%EC%8A%A4-%EA%B5%AD%EC%96%B4-%EA%B9%80%EB%AF%BC%EA%B2%BDT-%EB%91%90-%EB%8B%AC-%EC%88%98%EA%B0%95-%ED%9B%84%EA%B8%B0
2026,3,6,오르비,이투스,[이투스월구독],"공부하면서 이투스 월구독 이용하고 있는데,공부하다 보면 의지가 떨어질 때도 있는데 이런 작은 보상이 있으니까 그래도 하나라도 더 듣게 됨. 이런 식으로 공부 습관 잡는 데 도움이 되는 것 같아서 만족하면서 사용 중 :)
“이 글은 본인이 직접 구독하여 수강한 강의의 후기로 이투스 엠버서더에 참여하는 글입니다.”",https://orbi.kr/00077806427/%5B%EC%9D%B4%ED%88%AC%EC%8A%A4-%EC%9B%94%EA%B5%AC%EB%8F%85%5D
2026,3,6,오르비,이투스,재수생 그린램프 vs이투스247,둘 다 집 근처에 있고 지금은 스카 1인실 다니는데 이 기간 끝나면 둘 중에 들어가려고 생각중입니다 관리형 스카 가야될 거 같아서 고민중인데 둘 중에 어디 가는게 나을까요?,https://orbi.kr/00077807359/%EC%9E%AC%EC%88%98%EC%83%9D-%EA%B7%B8%EB%A6%B0%EB%9E%A8%ED%94%84-vs-%EC%9D%B4%ED%88%AC%EC%8A%A4-247
