연,월,일,커뮤니티(오르비),타사명/키워드(크롤링 단어),제목,본문(내용),URL
2026,2,22,오르비,러셀,러셀의무단과 뭘로채움,"이제 공부시작해서 기출해야되는데 엔제단괴밖에없던데ㅜ
그리고 5만원짜리하루특강은 단과1개로 안쳐주는거임?",https://orbi.kr/00077679430/%EB%9F%AC%EC%85%80-%EC%9D%98%EB%AC%B4%EB%8B%A8%EA%B3%BC-%EB%AD%98%EB%A1%9C%EC%B1%84%EC%9B%80
2026,2,22,오르비,러셀,러셀모의고사 성적,우리반 담임쌤말고 다른쌤도 내성적 알수있음????,https://orbi.kr/00077687064/%EB%9F%AC%EC%85%80-%EB%AA%A8%EC%9D%98%EA%B3%A0%EC%82%AC-%EC%84%B1%EC%A0%81
2026,2,22,오르비,대성,대성프패 1달,"1달 구합니다 영어만 두과목 들을거같아요
연락주세요!",https://orbi.kr/00077673903/%EB%8C%80%EC%84%B1-%ED%94%84%ED%8C%A8-1%EB%8B%AC
2026,2,22,오르비,대성,시대재종 반배정 ㅈ망?,"일단 저는 26수능 55447박고 재수하게된 재수생입니다 사실 55447이..ㅋㅋ 제가 시대인재에서 지정한 우수고등학교 다니는 학생이였고요, 내신도 썩 나쁘지않았습니다 2.중반? (이과) 그래서 수시 6학종박고 수능이나 깔아줘야지~ 라고 해서 저런 성적이 나왔습니다. 결과론적으로는  예.. 수시6광탈의 참패를 겪었습니다 ㅠㅠ 그래서 수능끝난 담주부터 잇올에가서 지금까지 공부를 하고있었는데 문득 시대재종에 내신보는 전형이 있다는데 넣어볼까? 라고해서 수능성적표랑 생기부를 넣었더니 목동시대는 붙더라고요... 아직도 왜 붙은지 이해가 안가는데(아무리 내신이 나쁘지않다고해도 55447을..) 이번에 화작확통생윤사문으로 인문쪽으로 수능볼거같은데 재종반 무조건 낮반 확정인가요? ㅋㅋㅋ
김기원 새터 이동준 드릴
심찬우
시대인재 강남대성 강기원 김현우",https://orbi.kr/00077674423/%EC%8B%9C%EB%8C%80%EC%9E%AC%EC%A2%85-%EB%B0%98%EB%B0%B0%EC%A0%95-%E3%85%88%EB%A7%9D%3F
2026,2,22,오르비,대성,지2 노베 커리 ㅊㅊ좀,"- 지1 유베, 작수 백분 89
- 물1,물2 모두 노베임
- 화1지2 조합으로 가져갈생각
메가 대성 둘 다 살거임
대성쪽 지2는 엄기은만 하는거같은데 표커리 보니까 기초개념은 안하는거같고..
메가쪽은 오지훈이 지2 개념부터 해주는거같긴 함
기초개념부터 수능직전까지 오지훈 쭉 하는게 나음?
아니면 기초개념 오지훈으로 하고 중간에 엄기은으로 넘어가는게 나음?",https://orbi.kr/00077674487/%EC%A7%802-%EB%85%B8%EB%B2%A0-%EC%BB%A4%EB%A6%AC-%E3%85%8A%E3%85%8A%EC%A2%80
2026,2,22,오르비,대성,대성재종,반수할라는데 강남대성 재종 6월에 들어갈 수 있나요? 자리 나나요?,https://orbi.kr/00077675950/%EB%8C%80%EC%84%B1%EC%9E%AC%EC%A2%85
2026,2,22,오르비,대성,대성이 46만원은 진짜 ㅈㄴ돈아깝네,n수할인 받은게 이정도임..,https://orbi.kr/00077680007/%EB%8C%80%EC%84%B1%EC%9D%B4-46%EB%A7%8C%EC%9B%90%EC%9D%80-%EC%A7%84%EC%A7%9C-%E3%85%88%E3%84%B4%EB%8F%88%EC%95%84%EA%B9%9D%EB%84%A4
2026,2,22,오르비,대성,대성패스 고점,"대성패스 19만원에 사서 지금 55만원 됐는데 이거 어떻게 팔죠?
고점인거같아서 팔고 싶은데",https://orbi.kr/00077680298/%EB%8C%80%EC%84%B1%ED%8C%A8%EC%8A%A4-%EA%B3%A0%EC%A0%90
2026,2,22,오르비,대성,기숙학원 들어가려고 하는데요,"메가스터디
시대인재 기숙
강남대성
어디가 제일 좋나요...? 콘텐츠가 특별히 좋거나 많으면 좋을 것 같은데...",https://orbi.kr/00077680429/%EA%B8%B0%EC%88%99%ED%95%99%EC%9B%90-%EB%93%A4%EC%96%B4%EA%B0%80%EB%A0%A4%EA%B3%A0-%ED%95%98%EB%8A%94%EB%8D%B0%EC%9A%94
2026,2,22,오르비,대성,재수생 탐구 조언 제발 부탁드려요 ㅠㅠㅠㅠㅠㅠㅠ,"작수 정법, 사문 응시했고
정법 45점 2등급
사문 38점 3등급이 나왔습니다
사문은 6모부터 10모까지 항상 1이 뜨다 수능때 미끄러졌고, 정법은 평소대로 나왔는데
재수를 하게 됐습니다..
현역때 만들어둔
단권화
노트로 기억 복기시킬 예정이고
다음에 뭘 해야할까요 이제?
N제를 2월말인 지금부터 돌려도 되나요??
아니면 수특을 풀꺼요?
기출을 한번 더해야하나요?
개념강의 또 듣는건 낭비같아서요..
메가패스/대성패스 모두 있습니다!
조언 제발 부탁드립니다 ㅠㅠ",https://orbi.kr/00077681940/%EC%9E%AC%EC%88%98%EC%83%9D-%ED%83%90%EA%B5%AC-%EC%A1%B0%EC%96%B8-%EC%A0%9C%EB%B0%9C-%EB%B6%80%ED%83%81%EB%93%9C%EB%A0%A4%EC%9A%94-%E3%85%A0%E3%85%A0%E3%85%A0%E3%85%A0%E3%85%A0%E3%85%A0%E3%85%A0
