월,일,커뮤니티,타사명/키워드,제목,본문(내용),URL
3,4,디시인사이드,러셀,야 김동욱 왜 러셀이아니라 시대인재냐? 뭐냐? 왜임?,ㅇㅇ?  궁금함,https://gall.dcinside.com/mgallery/board/view/?id=sdijn&no=2600187
3,4,디시인사이드,러셀,독재 잇올 vs 러셀 vs 이투스 뭐가 제일 괜찮냐,"다 부산센텀임 ㅇㅇ
단과 필요없고 그냥 관리형 독서실 느낌나는데가 제일 괜찮은데",https://gall.dcinside.com/mgallery/board/view/?id=hanmath&no=10685388
3,4,디시인사이드,러셀,나도 스카 독재 생각했는데,"부모님이 강제로 러셀에 입반시킴
의무시수로 2개 단과 들어야 하는 건 좀..
- dc official App",https://gall.dcinside.com/mgallery/board/view/?id=hanmath&no=10685072
3,4,디시인사이드,러셀,러셀 석식 점심시간에 담배피러 나가도 됨?,"ㅇㅇ 냄새는 빼고 들어옴
- dc official App",https://gall.dcinside.com/mgallery/board/view/?id=russelmg&no=46810
3,4,디시인사이드,러셀,러셀 논술 어떰?,"한국외대 지망인데 논술 해야할것 같아서 그런디 러셀 논술 ㄱㅊ음?
별로면 대구 안에서 괜찮은 논술 추천좀",https://gall.dcinside.com/mgallery/board/view/?id=russelmg&no=46809
3,4,디시인사이드,러셀,대구러셀 목에 때낀 게이야,"목에 때도끼고 목에 빅맥도 낀거같은데 얼굴못생기고 뚱뚱하면 목소리내지마라 병신같은게 친구랑 학원에서 떠드노
- dc official App",https://gall.dcinside.com/mgallery/board/view/?id=russelmg&no=46805
3,4,디시인사이드,러셀,Vpn 잡는다는데,"본사에서 vpn 사용 명단 받아서 교점준다는데 말이안되는게
그 기기 쓰는애가 누군지 학원에서 어케앎;;
ㄹㅇ실명을 본사가 아는지도 모르겠지만 안다고 해도 그걸 러셀에 내주는거도 말이안되지않나?",https://gall.dcinside.com/mgallery/board/view/?id=russelmg&no=46802
3,4,디시인사이드,러셀,와 저기 촬영장소 대치러셀임,"Ptsd시ㅏ발
- dc official App",https://gall.dcinside.com/mgallery/board/view/?id=hanmath&no=10682650
3,4,디시인사이드,러셀,P반입니다,"고등학교 자퇴하고 유시험쳐서 들어왔습니다.
입반고사 수학 다 맞았습니다. 러셀에서 모의수능 봤을때 국어는 1컷 정도에 수학은 미적 92점 나왔습니다.
담임상담때 물어보니 저와 같은 검정고시 상위권 학생이 1/4 가량 된다고 하더군요. 세기말 수능이다보니 내신 나쁜 상위권 학생들이 자퇴하고 재종런 많이 하는 것 같습니다.",https://gall.dcinside.com/mgallery/board/view/?id=dshw&no=250987
3,4,디시인사이드,대성,근데 대성 커뮤픽은 생각보다 정확하던데,원래 커뮤픽 이딴거 신뢰 좃도 안하는데 여긴 그래도 다 정상인갤러리라 진짜 좋은 강사분들 추천 해주던데 숨꿀강사들,https://gall.dcinside.com/mgallery/board/view/?id=dshw&no=251351
